regime,n,mean_net_cons_bps,ci_lo_bps,ci_hi_bps,mean_gross_bps,mean_r_day_bps,hit_rate
2021-04-13..2024-11-04(引け板寄せ 15:00),872,-2.4159900740495814,-5.107340419419488,0.5592532772233034,7.388400372138857,-7.73666773163262,0.4541284403669725
2024-11-05..2026-09-03(引け板寄せ 15:30),445,-0.14445080658315418,-3.991247819534039,3.615443343223826,10.027080175470102,-6.478306572647935,0.48089887640449436
