indicator,n,mean_bps,ci_lo_bps,ci_hi_bps
主指標 保守コスト後平均(分配金補正あり),1317,-1.6484616199701891,-3.833007537386216,0.7273070680035952
楽観コスト(0)平均(分配金補正あり),1317,8.279981626871132,6.126015168273729,10.5030289524022
グロス夜間リターン(分配金補正あり),1317,8.279981626871132,6.137240541890293,10.650876345374234
保守コスト後平均(分配金補正なし),1317,-3.2967606993870033,-5.544673762786758,-1.0318437099730136
楽観コスト(0)平均(分配金補正なし),1317,6.631682547454318,4.401647101656905,8.911050151407464
夜間 − 日中の差,1317,15.591462786181669,11.048250525358556,20.343120666129273
1321 保守コスト後平均,1317,1.6665467742991111,-3.5207934663139513,7.135079584132919
