ex_date_window,mean,std,count
ex_date,7.952748587399296,43.78759991524486,22
ex_date+1,4.516218356124974,26.357507866785696,21
ex_date-1,-2.15514409147303,28.795814156550605,21
other,-1.9118651093225971,36.76216808878541,1253
