t_date,t1_date,open_t,close_t,open_t1,volume_t,thin,zero_or_blank,bad_print,ghost_excluded,rule1_excluded,kept,r_night_raw_bps,r_day_bps,cost_conservative_bps,cost_optimistic_bps,net_conservative_raw_bps,net_optimistic_raw_bps,vol20_t,one_sided_info_count_total,n_bad_print_rows_total,n_ghost_rows_total
2021-04-13,2021-04-14,30700.0,30850.0,30800.0,311260.0,False,False,False,False,False,True,-16.207455429497752,48.859934853420214,6.482982171799027,0.0,-22.69043760129678,-16.207455429497752,,0,0,0
2021-04-14,2021-04-15,30800.0,30750.0,30650.0,203763.0,False,False,False,False,False,True,-32.52032520325243,-16.233766233766378,6.504065040650406,0.0,-39.02439024390284,-32.52032520325243,,0,0,0
2021-04-15,2021-04-16,30650.0,30750.0,30950.0,256672.0,False,False,False,False,False,True,65.04065040650487,32.62642740619937,6.504065040650406,0.0,58.536585365854464,65.04065040650487,,0,0,0
2021-04-16,2021-04-19,30950.0,30850.0,30850.0,200231.0,False,False,False,False,False,True,0.0,-32.31017770597755,6.482982171799027,0.0,-6.482982171799027,0.0,,0,0,0
2021-04-19,2021-04-20,30850.0,30750.0,30450.0,290548.0,False,False,False,False,False,True,-97.56097560975618,-32.414910858995505,6.504065040650406,0.0,-104.06504065040659,-97.56097560975618,,0,0,0
2021-04-20,2021-04-21,30450.0,30200.0,29680.0,1042471.0,False,False,False,False,False,True,-172.18543046357615,-82.10180623973717,6.622516556291391,0.0,-178.80794701986756,-172.18543046357615,,0,0,0
2021-04-21,2021-04-22,29680.0,29570.0,29970.0,1064831.0,False,False,False,False,False,True,135.27223537368906,-37.06199460916437,3.3818058843422385,0.0,131.89042948934681,135.27223537368906,,0,0,0
2021-04-22,2021-04-23,29970.0,30200.0,29960.0,559679.0,False,False,False,False,False,True,-79.47019867549643,76.74341007674279,6.622516556291391,0.0,-86.09271523178782,-79.47019867549643,,0,0,0
2021-04-23,2021-04-26,29960.0,30100.0,30100.0,275229.0,False,False,False,False,False,True,0.0,46.72897196261738,6.644518272425249,0.0,-6.644518272425249,0.0,,0,0,0
2021-04-26,2021-04-27,30100.0,30250.0,30300.0,261420.0,False,False,False,False,False,True,16.52892561983421,49.83388704318914,6.6115702479338845,0.0,9.917355371900328,16.52892561983421,,0,0,0
2021-04-27,2021-04-28,30300.0,30100.0,30000.0,103647.0,False,False,False,False,False,True,-33.222591362126465,-66.0066006600657,6.644518272425249,0.0,-39.86710963455172,-33.222591362126465,,0,0,0
2021-04-28,2021-04-30,30000.0,30150.0,30050.0,146511.0,False,False,False,False,False,True,-33.167495854062864,49.999999999998934,6.633499170812604,0.0,-39.80099502487547,-33.167495854062864,,0,0,0
2021-04-30,2021-05-06,30050.0,29920.0,30100.0,325666.0,False,False,False,False,False,True,60.16042780748742,-43.261231281197524,3.3422459893048124,0.0,56.81818181818261,60.16042780748742,,0,0,0
2021-05-06,2021-05-07,30100.0,30450.0,30450.0,267008.0,False,False,False,False,False,True,0.0,116.27906976744207,6.568144499178982,0.0,-6.568144499178982,0.0,,0,0,0
2021-05-07,2021-05-10,30450.0,30450.0,30500.0,175794.0,False,False,False,False,False,True,16.420361247948545,0.0,6.568144499178982,0.0,9.852216748769564,16.420361247948545,,0,0,0
2021-05-10,2021-05-11,30500.0,30600.0,30350.0,219537.0,False,False,False,False,False,True,-81.69934640522847,32.78688524590123,6.5359477124183005,0.0,-88.23529411764677,-81.69934640522847,,0,0,0
2021-05-11,2021-05-12,30350.0,29760.0,29760.0,714851.0,False,False,False,False,False,True,0.0,-194.3986820428334,3.360215053763441,0.0,-3.360215053763441,0.0,,0,0,0
2021-05-12,2021-05-13,29760.0,29230.0,28830.0,1106937.0,False,False,False,False,False,True,-136.84570646596006,-178.09139784946248,3.421142661648991,0.0,-140.26684912760905,-136.84570646596006,,0,0,0
2021-05-13,2021-05-14,28830.0,28500.0,28860.0,868409.0,False,False,False,False,False,True,126.31578947368327,-114.46409989594119,3.508771929824561,0.0,122.8070175438587,126.31578947368327,,0,0,0
2021-05-14,2021-05-17,28860.0,29130.0,29380.0,260066.0,False,False,False,False,False,True,85.82217645039414,93.55509355509328,3.4328870580157913,0.0,82.38928939237834,85.82217645039414,,0,0,0
2021-05-17,2021-05-18,29380.0,28880.0,29010.0,306339.0,False,False,False,False,False,True,45.013850415511754,-170.18379850238242,3.4626038781163433,0.0,41.551246537395414,45.013850415511754,,0,0,0
2021-05-18,2021-05-19,29010.0,29490.0,29010.0,251814.0,False,False,False,False,False,True,-162.76703967446628,165.46018614270963,3.3909799932180404,0.0,-166.15801966768433,-162.76703967446628,0.014090827246091557,0,0,0
2021-05-19,2021-05-20,29010.0,29090.0,28930.0,247351.0,False,False,False,False,False,True,-55.00171880371219,27.576697690452345,3.4376074252320388,0.0,-58.439326228944225,-55.00171880371219,0.015094471193226294,0,0,0
2021-05-20,2021-05-21,28930.0,29120.0,29370.0,355742.0,False,False,False,False,False,True,85.85164835164916,65.67576909782159,3.4340659340659343,0.0,82.41758241758322,85.85164835164916,0.015302324339775122,0,0,0
2021-05-21,2021-05-24,29370.0,29390.0,29300.0,229947.0,False,False,False,False,False,True,-30.62266076896858,6.809669731018264,3.402517863218782,0.0,-34.02517863218736,-30.62266076896858,0.015264404974022022,0,0,0
2021-05-24,2021-05-25,29300.0,29420.0,29630.0,244659.0,False,False,False,False,False,True,71.38001359619395,40.95563139931757,3.399048266485384,0.0,67.98096532970857,71.38001359619395,0.015501944391682855,0,0,0
2021-05-25,2021-05-26,29630.0,29630.0,29480.0,120150.0,False,False,False,False,False,True,-50.62436719540986,0.0,3.374957813027337,0.0,-53.9993250084372,-50.62436719540986,0.015060019946550884,0,0,0
2021-05-26,2021-05-27,29480.0,29710.0,29630.0,206277.0,False,False,False,False,False,True,-26.926960619320095,78.01899592944307,3.365870077415012,0.0,-30.292830696735106,-26.926960619320095,0.014417582093654525,0,0,0
2021-05-27,2021-05-28,29630.0,29610.0,30000.0,214048.0,False,False,False,False,False,True,131.7122593718345,-6.749915626054204,3.3772374197906116,0.0,128.3350219520439,131.7122593718345,0.013570729666817837,0,0,0
