month,mean,std,count
1,-1.77074653010488,31.60966454944535,95
2,-0.48790997362634736,39.73719608822091,92
3,0.8050336749813742,54.226766238302886,105
4,-1.5036056805598987,48.65201549426175,116
5,-5.154397565788592,30.017233808060094,116
6,-1.093710728125341,25.316625726592196,129
7,1.7010281203259372,28.789240297288973,126
8,-5.352160825248303,41.95202252954108,126
9,-6.434353047241876,32.20426433774306,101
10,-0.24074669717498498,33.11211248878941,105
11,3.3955858788722515,32.76150611319114,98
12,-3.024105789537601,31.822069867892264,108
