row	viewpoint	correct	same	total
new_impl	C3-1	5	5	5
new_impl	C3-2	3	3	3
new_impl	C3-3	1	1	1
new_impl	C3-4	4	4	4
new_impl	C3-5	3	3	3
new_impl	C3-6	7	7	7
new_impl	C3-7	6	6	6
new_impl	C3-8	1	1	1
new_impl	C3-9	2	2	2
new_impl	C3-10	2	2	2
new_impl	C3-11	1	1	1
new_impl	C3-12	1	1	1
new_impl	C3-13	3	3	3
new_impl	C3-14	4	4	4
new_impl	C3-15	2	2	2
new_impl	C3-16	2	2	2
new_impl	C3-17	2	2	2
new_impl	C3-18	3	3	3
new_impl	C3-19	1	1	1
new_impl	計	53	53	53
current_impl	C3-1	0	0	5
current_impl	C3-2	0	0	3
current_impl	C3-3	1	1	1
current_impl	C3-4	0	0	4
current_impl	C3-5	0	0	3
current_impl	C3-6	4	4	7
current_impl	C3-7	0	0	6
current_impl	C3-8	0	0	1
current_impl	C3-9	0	0	2
current_impl	C3-10	0	0	2
current_impl	C3-11	0	0	1
current_impl	C3-12	0	0	1
current_impl	C3-13	0	0	3
current_impl	C3-14	1	1	4
current_impl	C3-15	0	0	2
current_impl	C3-16	0	0	2
current_impl	C3-17	0	0	2
current_impl	C3-18	0	2	3
current_impl	C3-19	0	0	1
current_impl	計	6	8	53
survey_best	C3-1	2	2	5
survey_best	C3-2	0	2	3
survey_best	C3-3	1	1	1
survey_best	C3-4	0	0	4
survey_best	C3-5	1	3	3
survey_best	C3-6	1	1	7
survey_best	C3-7	3	3	6
survey_best	C3-8	0	1	1
survey_best	C3-9	0	0	2
survey_best	C3-10	0	1	2
survey_best	C3-11	0	0	1
survey_best	C3-12	0	0	1
survey_best	C3-13	1	1	3
survey_best	C3-14	2	2	4
survey_best	C3-15	0	1	2
survey_best	C3-16	0	0	2
survey_best	C3-17	0	0	2
survey_best	C3-18	0	0	3
survey_best	C3-19	0	0	1
survey_best	計	11	18	53
mutant	C3-1	5	5	5
mutant	C3-2	1	3	3
mutant	C3-3	1	1	1
mutant	C3-4	4	4	4
mutant	C3-5	3	3	3
mutant	C3-6	7	7	7
mutant	C3-7	6	6	6
mutant	C3-8	1	1	1
mutant	C3-9	2	2	2
mutant	C3-10	2	2	2
mutant	C3-11	1	1	1
mutant	C3-12	1	1	1
mutant	C3-13	3	3	3
mutant	C3-14	4	4	4
mutant	C3-15	2	2	2
mutant	C3-16	2	2	2
mutant	C3-17	2	2	2
mutant	C3-18	3	3	3
mutant	C3-19	1	1	1
mutant	計	51	53	53
