cascade_id,start_ms,end_ms,width_ms,n_events,total_size,direction,bar60_before_tie,bar60_before_path,bar60_before_internal_bp,bar60_after_shift_tie,bar60_after_shift_path,bar60_after_shift_internal_bp,trade_before_tie,trade_before_path,trade_before_internal_bp,trade_after_shift_tie,trade_after_shift_path,trade_after_shift_internal_bp
binance_cm_real_000040,1687741143841,1687741143841,0,1,1976026.0,long,1,time_resolution,0.0,0,,-4.373317,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000041,1687741295608,1687741427884,132276,5,7227678.7,long,0,,-5.888894,0,,-21.219758,0,,-17.284064,0,,-17.284064
binance_cm_real_000042,1687741510249,1687741510249,0,1,454503.0,long,1,time_resolution,0.0,0,,10.390073,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000043,1687742000248,1687742023907,23659,12,40853244.3,long,1,time_resolution,0.0,0,,-54.250801,0,,-66.756998,0,,-66.756998
binance_cm_real_000044,1687742459856,1687742489268,29412,6,9481050.4,long,1,time_resolution,0.0,0,,5.127744,0,,-21.909452,0,,-21.909452
binance_cm_real_000045,1687742669146,1687742669146,0,1,150867.0,short,1,time_resolution,0.0,0,,26.798523,1,time_resolution,0.0,0,,-0.298272
binance_cm_real_000046,1687744648187,1687744648187,0,1,392083.9,long,1,time_resolution,0.0,0,,-4.207179,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000047,1687751597598,1687751597598,0,1,393753.1,short,1,time_resolution,0.0,0,,4.623514,1,time_resolution,0.0,0,,0.132062
binance_cm_real_000048,1687756897203,1687756897203,0,1,30164.3,long,1,time_resolution,0.0,0,,-9.669322,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000049,1687761884693,1687761905985,21292,2,5278748.8,short,0,,9.601204,0,,10.162099,0,,2.109593,0,,2.109593
binance_cm_real_000050,1687762245977,1687762245977,0,1,91134.6,short,1,time_resolution,0.0,0,,1.97581,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000051,1687762380032,1687762383433,3401,2,1368408.9,short,1,time_resolution,0.0,0,,1.18388,0,,2.170446,0,,2.170446
binance_cm_real_000052,1687762698258,1687762698258,0,1,1127145.8,short,1,time_resolution,0.0,0,,9.332772,1,time_resolution,0.0,1,price_tick,0.0
binance_cm_real_000053,1687762791765,1687762868132,76367,3,6432491.6,short,0,,11.687919,0,,21.471627,0,,13.221785,0,,13.221785
binance_cm_real_000054,1687762981006,1687762981006,0,1,9353410.2,short,1,time_resolution,0.0,0,,-9.751532,1,time_resolution,0.0,0,,-0.032715
binance_cm_real_000055,1687764843040,1687764850624,7584,2,11077808.9,long,1,time_resolution,0.0,0,,-5.072464,0,,-1.054251,0,,-1.054251
binance_cm_real_000056,1687765067330,1687765067330,0,1,1907350.2,long,1,time_resolution,0.0,0,,-15.365947,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000057,1687773318418,1687773318418,0,1,302333.0,long,1,time_resolution,0.0,0,,-0.52881,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000058,1687773667796,1687773667796,0,1,725388.0,long,1,time_resolution,0.0,0,,-0.793877,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000059,1687773851902,1687773853142,1240,2,181261.1,long,1,time_resolution,0.0,0,,0.959775,0,,-0.165505,0,,-0.066202
binance_cm_real_000060,1687773988969,1687773988969,0,1,120697.6,long,1,time_resolution,0.0,0,,4.736166,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000061,1687774130811,1687774194712,63901,4,9621116.4,long,0,,-4.904674,0,,-14.7803,0,,-14.22112,0,,-14.22112
binance_cm_real_000062,1687775217620,1687775217620,0,1,151233.5,short,1,time_resolution,0.0,1,time_resolution,0.0,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000063,1687776123294,1687776123294,0,1,302553.0,short,1,time_resolution,0.0,0,,3.504202,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000064,1687783396168,1687783396168,0,1,1063300.0,short,1,time_resolution,0.0,0,,9.820625,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000065,1687786454235,1687786473329,19094,2,121778.9,short,1,time_resolution,0.0,0,,7.326922,0,,2.135131,0,,2.135131
binance_cm_real_000066,1687786595710,1687786601945,6235,2,91408.2,short,1,time_resolution,0.0,0,,8.47402,0,,4.792463,0,,4.792463
binance_cm_real_000067,1687786728809,1687786806851,78042,5,23329811.0,short,0,,14.512883,0,,20.455941,0,,17.057513,0,,17.057513
binance_cm_real_000068,1687787828238,1687787866297,38059,3,2078299.7,short,1,time_resolution,0.0,0,,11.031819,0,,12.435532,0,,12.435532
binance_cm_real_000069,1687787952324,1687787965129,12805,3,1530658.8,short,1,time_resolution,0.0,0,,16.939841,0,,4.67189,0,,4.67189
binance_cm_real_000070,1687789137992,1687789137992,0,1,274432.5,long,1,time_resolution,0.0,0,,-8.260291,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000071,1687789211082,1687789211082,0,1,14161296.0,long,1,time_resolution,0.0,0,,3.709418,1,time_resolution,0.0,0,,0.459708
binance_cm_real_000072,1687790508527,1687790508527,0,1,6469193.4,long,1,time_resolution,0.0,0,,-8.813847,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000073,1687790570232,1687790662106,91874,5,14021500.7,long,0,,-30.842761,0,,-31.830256,0,,-16.003115,0,,-16.003115
binance_cm_real_000074,1687791397283,1687791397283,0,1,30396.2,short,1,time_resolution,0.0,0,,8.429732,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000075,1687796809707,1687796809707,0,1,454944.0,long,1,time_resolution,0.0,0,,-8.696769,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000076,1687797017139,1687797036400,19261,2,4298400.0,long,1,time_resolution,0.0,0,,-2.738695,0,,-3.30251,0,,-3.30251
binance_cm_real_000077,1687797457286,1687797465273,7987,2,16564473.4,long,1,time_resolution,0.0,0,,1.785449,0,,-1.521808,0,,-1.521808
binance_cm_real_000078,1687797894610,1687797969748,75138,11,57640044.9,long,0,,-50.156325,0,,-62.596152,0,,-70.756981,0,,-70.756981
binance_cm_real_000079,1687798046246,1687798047980,1734,2,1349784.5,long,1,time_resolution,0.0,0,,-9.654984,0,,1.933933,0,,1.933933
binance_cm_real_000080,1687799793892,1687799798454,4562,4,4430269.1,long,1,time_resolution,0.0,0,,-36.369807,0,,-18.676005,0,,-18.742705
binance_cm_real_000081,1687805063434,1687805063434,0,1,90585.0,short,1,time_resolution,0.0,0,,-1.126548,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000082,1687805194201,1687805231503,37302,3,2538477.4,short,0,,12.329639,0,,14.782309,0,,3.11113,0,,3.11113
binance_cm_real_000083,1687808750627,1687808750627,0,1,13541382.4,short,1,time_resolution,0.0,0,,1.488947,1,time_resolution,0.0,0,,-0.066167
binance_cm_real_000084,1687808888703,1687808888703,0,1,151274.5,short,1,time_resolution,0.0,0,,6.482639,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000085,1687809175553,1687809175553,0,1,60544.8,short,1,time_resolution,0.0,0,,5.420359,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000086,1687826272265,1687826273383,1118,2,12978838.5,short,1,time_resolution,0.0,0,,28.138464,0,,-1.483753,0,,-1.483753
binance_cm_real_000087,1687832038119,1687832038119,0,1,91176.0,short,1,time_resolution,0.0,1,time_resolution,0.0,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000088,1687832459551,1687832459551,0,1,2098469.4,short,1,time_resolution,0.0,1,time_resolution,0.0,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000089,1687834657259,1687834657259,0,1,457011.0,short,1,time_resolution,0.0,0,,6.731818,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000090,1687837725047,1687837725047,0,1,2155389.6,long,1,time_resolution,0.0,0,,-5.992125,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000091,1687844312484,1687844312484,0,1,5871739.8,long,1,time_resolution,0.0,0,,-5.448386,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000092,1687847044319,1687847044319,0,1,4987603.5,long,1,time_resolution,0.0,0,,-0.03307,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000093,1687850484830,1687850484830,0,1,151878.5,short,1,time_resolution,0.0,0,,1.843937,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000094,1687851914489,1687851914489,0,1,3496126.5,short,1,time_resolution,0.0,0,,5.134568,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000095,1687852276850,1687852279088,2238,2,182665.2,short,1,time_resolution,0.0,0,,12.163051,1,price_tick,0.0,1,price_tick,0.0
binance_cm_real_000096,1687860367746,1687860448932,81186,6,22682134.9,short,0,,19.166708,0,,31.999212,0,,14.938869,0,,14.938869
binance_cm_real_000097,1687860701023,1687860815033,114010,8,9845070.2,short,0,,27.42344,0,,38.418996,0,,33.348264,0,,33.348264
binance_cm_real_000098,1687861406421,1687861406421,0,1,736723.2,short,1,time_resolution,0.0,0,,4.957923,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000099,1687861729882,1687861729882,0,1,3974399.0,long,1,time_resolution,0.0,0,,-16.854483,1,time_resolution,0.0,1,price_tick,0.0
binance_cm_real_000100,1687864272215,1687864272215,0,1,152783.5,long,1,time_resolution,0.0,0,,-0.196242,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000101,1687864698148,1687864698148,0,1,3787952.0,long,1,time_resolution,0.0,0,,-3.632021,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000102,1687866622993,1687866645997,23004,5,614963.9,short,1,time_resolution,0.0,0,,23.638118,0,,24.831524,0,,24.896698
binance_cm_real_000103,1687869082766,1687869082766,0,1,765900.0,long,1,time_resolution,0.0,0,,3.588907,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000104,1687871461470,1687871461470,0,1,9575922.0,long,1,time_resolution,0.0,0,,1.241566,1,time_resolution,0.0,0,,0.784511
binance_cm_real_000105,1687872003253,1687872003253,0,1,244660.0,long,1,time_resolution,0.0,0,,5.885122,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000106,1687872246758,1687872246758,0,1,947902.5,long,1,time_resolution,0.0,0,,2.71429,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000107,1687873369847,1687873369847,0,1,335968.6,long,1,time_resolution,0.0,0,,-12.133263,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000108,1687874580992,1687874726920,145928,16,20515653.2,short,0,,54.369616,0,,66.332235,0,,82.398957,0,,82.398957
binance_cm_real_000109,1687874853617,1687874931056,77439,4,27518807.1,short,0,,12.546402,0,,22.214893,0,,15.735717,0,,15.735717
binance_cm_real_000110,1687875142075,1687875152532,10457,3,78544260.7,long,1,time_resolution,0.0,0,,-39.951786,0,,-28.016947,0,,-28.016947
binance_cm_real_000111,1687876276343,1687876276343,0,1,308750.0,short,1,time_resolution,0.0,0,,-3.823262,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000112,1687876914230,1687876914230,0,1,1475068.8,long,1,time_resolution,0.0,0,,-2.439588,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000113,1687878622040,1687878664979,42939,5,6982556.7,long,0,,-25.099093,0,,-29.662564,0,,-27.238357,0,,-27.238357
binance_cm_real_000114,1687880461415,1687880475128,13713,8,12023374.3,long,1,time_resolution,0.0,0,,-24.107672,0,,-41.619558,0,,-41.652329
binance_cm_real_000115,1687884145392,1687884304203,158811,5,6266327.6,short,0,,29.252558,0,,21.874123,0,,17.601674,0,,17.601674
binance_cm_real_000116,1687888735271,1687888735271,0,1,1537740.0,short,1,time_resolution,0.0,0,,5.011977,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000117,1687897638093,1687897638093,0,1,30602.8,long,1,time_resolution,0.0,0,,-10.184729,1,time_resolution,0.0,0,,0.032677
binance_cm_real_000118,1687897728161,1687897748369,20208,4,6784643.9,long,0,,-5.947149,0,,-12.515154,0,,-9.383808,0,,-8.599099
binance_cm_real_000119,1687903371227,1687903371227,0,1,952561.8,short,1,time_resolution,0.0,0,,4.036734,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000120,1687911504531,1687911611274,106743,4,5005479.8,long,0,,-22.012311,0,,-18.741537,0,,-22.18492,0,,-22.18492
binance_cm_real_000121,1687911801102,1687911810126,9024,2,2254795.6,long,1,time_resolution,0.0,0,,-11.443936,0,,-1.3454,0,,-1.3454
binance_cm_real_000122,1687916137755,1687916137755,0,1,30521.3,long,1,time_resolution,0.0,0,,-8.022266,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000123,1687917482420,1687917482420,0,1,30469.5,long,1,time_resolution,0.0,0,,1.082578,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000124,1687920698479,1687920716707,18228,7,26032862.8,long,1,time_resolution,0.0,0,,-33.679318,0,,-25.605964,0,,-25.573094
binance_cm_real_000125,1687936299825,1687936299825,0,1,333656.4,long,1,time_resolution,0.0,0,,-4.843413,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000126,1687936665356,1687936666474,1118,2,1728309.9,long,1,time_resolution,0.0,0,,-12.68375,0,,-2.110686,0,,-2.110686
binance_cm_real_000127,1687937243731,1687937243731,0,1,1969162.0,long,1,time_resolution,0.0,0,,10.617461,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000128,1687937587465,1687937709128,121663,13,42851789.2,long,0,,-25.217101,0,,-26.306322,0,,-29.604176,0,,-29.604176
binance_cm_real_000129,1687938310083,1687938311243,1160,2,603123.0,long,1,time_resolution,0.0,0,,-10.068292,0,,-1.823674,0,,-1.823674
binance_cm_real_000130,1687938434480,1687938434480,0,1,1598140.8,long,1,time_resolution,0.0,0,,12.426683,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000131,1687939255982,1687939269312,13330,2,24322803.8,long,0,,-7.554622,0,,-1.225969,0,,-3.648376,0,,-3.648376
binance_cm_real_000132,1687944152765,1687944152765,0,1,454284.0,short,1,time_resolution,0.0,0,,4.493565,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000133,1687950113917,1687950113917,0,1,121396.0,short,1,time_resolution,0.0,1,time_resolution,0.0,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000134,1687952868239,1687952884258,16019,2,455663.5,short,0,,7.643673,0,,8.599132,0,,2.140164,0,,2.140164
binance_cm_real_000135,1687954901245,1687954909659,8414,2,2024009.3,long,1,time_resolution,0.0,0,,-17.811116,0,,0.165516,0,,0.165516
