scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-15-swap-long	I4-15	値	結果なし	adapter: zvt(8509990e)(再現): swap_daily_pct: 持ち越しの口が無い(src/zvt/trader/sim_account.py(8509990e) の現金は約定のときだけ動く: 353-408 行) / 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行)	-	結果なし	adapter: zvt(8509990e)(再現): swap_daily_pct: 持ち越しの口が無い(src/zvt/trader/sim_account.py(8509990e) の現金は約定のときだけ動く: 353-408 行) / 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行)	-	結果なし	0.0	0.0
i4-15-swap-short	I4-15	値	結果なし	adapter: zvt(8509990e)(再現): swap_daily_pct: 持ち越しの口が無い(src/zvt/trader/sim_account.py(8509990e) の現金は約定のときだけ動く: 353-408 行) / 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行)	-	結果なし	adapter: zvt(8509990e)(再現): swap_daily_pct: 持ち越しの口が無い(src/zvt/trader/sim_account.py(8509990e) の現金は約定のときだけ動く: 353-408 行) / 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行)	-	結果なし	0.0	0.0
i4-16-missed	I4-16	値	結果なし	adapter: zvt(8509990e)(再現): execution: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行)	-	結果なし	adapter: zvt(8509990e)(再現): execution: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行)	-	結果なし	0.0	0.0
i4-17-metrics	I4-17	値	結果なし	adapter: zvt(8509990e)(再現): 12 の指標を出す口は読んだ範囲に無い	-	結果なし	adapter: zvt(8509990e)(再現): 12 の指標を出す口は読んだ範囲に無い	-	結果なし	0.0	0.0
i4-17-metrics-edge	I4-17	値	結果なし	adapter: zvt(8509990e)(再現): 12 の指標を出す口は読んだ範囲に無い	-	結果なし	adapter: zvt(8509990e)(再現): 12 の指標を出す口は読んだ範囲に無い	-	結果なし	0.0	0.0
i4-17-sharpe-bar-seconds	I4-17	値	結果なし	adapter: zvt(8509990e)(再現): 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行) / 12 の指標を出す口は読んだ範囲に無い	-	結果なし	adapter: zvt(8509990e)(再現): 足ごとの資産の系列は読んだ範囲(sim_account.py)に無い(on_trading_close は日足の終値で建玉を評価する: 235-300 行) / 12 の指標を出す口は読んだ範囲に無い	-	結果なし	0.0	0.0
i4-17-two-models	I4-17	能力	結果なし	adapter: zvt(8509990e)(再現): 道具に、1 つの戦略の記述から互換の計算(L-1〜L-3)と仕様の計算の 2 つの出力を選ぶ口を探したが無い(模型は 1 つ)	-	結果なし	adapter: zvt(8509990e)(再現): 道具に、1 つの戦略の記述から互換の計算(L-1〜L-3)と仕様の計算の 2 つの出力を選ぶ口を探したが無い(模型は 1 つ)	-	結果なし	0.0	0.0
i4-18-split	I4-18	値	結果なし	adapter: zvt(8509990e)(再現): 行の割合で分ける口は読んだ範囲に無い	-	結果なし	adapter: zvt(8509990e)(再現): 行の割合で分ける口は読んだ範囲に無い	-	結果なし	0.0	0.0
i4-18-split-decimal	I4-18	値	結果なし	adapter: zvt(8509990e)(再現): 行の割合で分ける口は読んだ範囲に無い	-	結果なし	adapter: zvt(8509990e)(再現): 行の割合で分ける口は読んだ範囲に無い	-	結果なし	0.0	0.0
i4-18-two-models	I4-18	能力	結果なし	adapter: zvt(8509990e)(再現): 道具に、1 つの戦略の記述から互換の計算(L-1〜L-3)と仕様の計算の 2 つの出力を選ぶ口を探したが無い(模型は 1 つ)	-	結果なし	adapter: zvt(8509990e)(再現): 道具に、1 つの戦略の記述から互換の計算(L-1〜L-3)と仕様の計算の 2 つの出力を選ぶ口を探したが無い(模型は 1 つ)	-	結果なし	0.004	0.0
i4-18-refuse	I4-18	能力	結果なし	adapter: zvt(8509990e)(再現): 行の割合で分ける口は読んだ範囲に無い	-	結果なし	adapter: zvt(8509990e)(再現): 行の割合で分ける口は読んだ範囲に無い	-	結果なし	0.0	0.0
