date,n_5min,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2021-01-01,576,36898.91409027777,1078734155.8812032,1.5602203015277798,1.2038661488194435,1.6057217765972218,1.0595126563194441
2021-01-02,576,37398.15435069452,1149104824.8766239,1.3121573360416658,1.2108846914583347,1.3696385031597251,1.071910401597222
2021-01-03,576,34635.8387881945,1160010340.267356,1.6827936193750002,1.1980727000000007,1.7934304321875025,1.0203270554513877
2021-01-04,576,31354.43264930559,1001195130.8773303,1.8032956877777773,1.2073593083333307,1.9415376517013887,1.0035222646875022
2021-01-05,576,28911.858038194445,933409020.5397112,1.8074717418749995,1.2287234208333357,1.9706565269791665,1.023672203645833
2021-01-06,576,29112.59930902781,1014361274.2810677,2.0756717465277763,1.2293166463194447,2.0914713686458333,1.0584563145833326
2021-01-07,576,28991.400354166646,1103707756.2939956,2.026963709652781,1.1950927965972213,2.0287885974305566,1.0405079344791657
2021-01-08,576,28885.319986111142,1149969226.5308027,2.3321315880902778,1.43318784704861,2.2002483101736123,1.009141295347224
2021-01-09,576,29803.27210416665,1204265141.7375445,3.177167727430554,1.3632434326388898,2.6587123085416664,1.0378794077430553
2021-01-10,576,30800.150270833325,1223290524.2668314,3.0178019134027756,1.531836193750001,2.6565750976388873,1.0426048672916675
2021-01-11,576,27582.30927083333,948839706.7185158,2.6232116539236103,1.2818474262152784,2.3492672442361124,1.002637865347224
2021-01-12,576,25857.706361111108,901824770.7566161,2.2133534964583337,1.2773068617708339,2.0944650520486134,1.043298090034723
2021-01-13,576,26151.863274305593,909473642.6784482,1.9851856936458339,1.161497934305556,2.0897341388541673,1.0707457348263885
2021-01-14,576,28107.031736111105,1083053126.1729555,2.0804670644444405,1.1690185889930538,2.1380671409027805,1.0743744488888896
2021-01-15,576,28800.68607638889,1080139656.4737253,1.9828573480555554,1.168044852847222,1.9523802736111076,1.0581287688541658
2021-01-16,576,27914.330465277795,1029255903.131812,2.083011558298612,1.1266635364236113,2.2322281215972257,1.0215997968749988
2021-01-17,576,27487.637555555502,980617025.7418526,1.8878172085069456,1.1522455910763911,2.049473987743053,1.0746543649652793
2021-01-18,576,28162.60598263889,1016334230.0487924,2.2475771597569425,1.1679692425694448,2.4128967065625,1.0843381785763897
2021-01-19,576,28888.40609722224,1065932510.534102,2.4089161799305545,1.1999121702430555,2.5151551881249996,1.049651640590278
2021-01-20,542,29949.15993726938,1051047784.5403233,2.057907611808117,1.1378758549815504,2.3023287823247265,1.0607177319926195
2021-01-21,576,31893.837927083383,1051756744.7327347,2.167284610659722,1.1013188297569445,2.219578529999999,1.0222919956944438
2021-01-22,576,28111.915076388912,894828416.4572783,1.8313919350000012,1.039403102881944,2.029089401805554,1.0272041390277773
