series,n,net_short_opt_mean_bps,net_short_opt_ci_lo,net_short_opt_ci_hi,net_short_cons_mean_bps,net_short_cons_ci_lo,net_short_cons_ci_hi
1306.T,1098,-7.495033537848948,-12.569831076898923,-2.5259076797026316,-19.26111999047219,-25.95253189824541,-12.97104050155206
1591.T,1099,-12.177647417507366,-18.266416869552486,-6.331747526086579,-17.066498632948488,-23.032677955936407,-11.24350820821016
2516.T,1099,-5.897188264460169,-11.80599513263696,0.22944390469982617,-42.12955039937038,-48.045040335590876,-35.87116962507462
1321.T,1099,-7.469749791425504,-13.49408027761974,-1.7351804205177905,-11.913071027414896,-17.92408435653631,-6.267401033231698
