series,mean_gross_r_night_bps,reference_mean_bps,sign_matches_1321
1306.T,7.495033537848948,7.469749791425504,True
1591.T,12.177647417507366,7.469749791425504,True
2516.T,5.897188264460169,7.469749791425504,True
1321.T,7.469749791425504,7.469749791425504,True
