date_t,date_t1,open_t,close_t,open_t1,r_day_bps,r_night_bps,band_price_t,tick_yen,cost_cons_bps,net_opt_bps,net_cons_bps,flag_null_t,flag_null_t1,flag_ghost_t,flag_ghost_t1,flag_split_t,flag_split_t1,flag_badprint_t,flag_badprint_t1,excluded,valid_raw,clean,weekday,month,era,vol20,vol_tercile
2022-03-07,2022-03-08,16710.0,16255.0,16290.0,-272.29204069419535,21.53183635804412,16255.0,5.0,6.151953245155338,21.53183635804412,15.379883112888784,False,False,False,False,False,False,False,False,False,True,True,0,3,era1,,
2022-03-08,2022-03-09,16290.0,15925.0,15960.0,-224.0638428483732,21.9780219780219,15925.0,5.0,6.279434850863423,21.9780219780219,15.698587127158477,False,False,False,False,False,False,False,False,False,True,True,1,3,era1,,
2022-03-09,2022-03-10,15960.0,15920.0,16200.0,-25.062656641604562,175.87939698492372,15920.0,5.0,6.28140703517588,175.87939698492372,169.59798994974784,False,False,False,False,False,False,False,False,False,True,True,2,3,era1,,
2022-03-10,2022-03-11,16200.0,16475.0,16390.0,169.75308641975272,-51.59332321699517,16475.0,5.0,6.0698027314112295,-51.59332321699517,-57.663125948406396,False,False,False,False,False,False,False,False,False,True,True,3,3,era1,,
2022-03-11,2022-03-14,16390.0,16200.0,16365.0,-115.92434411226371,101.85185185185075,16200.0,5.0,6.172839506172839,101.85185185185075,95.67901234567792,False,False,False,False,False,False,False,False,False,True,True,4,3,era1,,
2022-03-14,2022-03-15,16365.0,16455.0,16365.0,54.99541704858002,-54.69462169553352,16455.0,5.0,6.077180188392585,-54.69462169553352,-60.7718018839261,False,False,False,False,False,False,False,False,False,True,True,0,3,era1,,
2022-03-15,2022-03-16,16365.0,16490.0,16640.0,76.382523678582,90.964220739842,16490.0,5.0,6.064281382656155,90.964220739842,84.89993935718584,False,False,False,False,False,False,False,False,False,True,True,1,3,era1,,
2022-03-16,2022-03-17,16640.0,16670.0,17140.0,18.028846153845812,281.943611277744,16670.0,5.0,5.9988002399520095,281.943611277744,275.944811037792,False,False,False,False,False,False,False,False,False,True,True,2,3,era1,,
2022-03-17,2022-03-18,17140.0,17090.0,17170.0,-29.171528588097793,46.811000585138544,17090.0,5.0,5.851375073142188,46.811000585138544,40.95962551199636,False,False,False,False,False,False,False,False,False,True,True,3,3,era1,,
2022-03-18,2022-03-22,17170.0,17305.0,17465.0,78.62550960978432,92.45882692863417,17305.0,5.0,5.778676683039584,92.45882692863417,86.68015024559459,False,False,False,False,False,False,False,False,False,True,True,4,3,era1,,
