series,n_common,mean_bps,ci_lo,ci_hi,sd_bps
1306.T,1096,-0.3787881990871379,-2.5692109556909517,1.641761636551983,41.9626480300787
1591.T,1099,4.707897626081862,1.3207855358092382,8.141033952916425,61.441075471332894
2516.T,1099,-1.5725615269653357,-6.9523953354016355,3.1692435178818132,74.10088472461025
