,1306.T,1591.T,2516.T,1321.T
1306.T,1.0,0.886321802338451,0.8313942806040169,0.9350648504372531
1591.T,0.886321802338451,1.0,0.7605959193921195,0.8523368119584144
2516.T,0.8313942806040169,0.7605959193921195,1.0,0.8143208443656701
1321.T,0.9350648504372531,0.8523368119584144,0.8143208443656701,1.0
