date,open_csv,close_csv,volume,flag_rule1_badprint,flag_rule2_split,flag_rule3_null,flag_rule5_ghost,band_price_used,tick_yen,pair_to,pair_r_night_bps,pair_cost_cons_bps,pair_excluded,pair_clean
2026-03-23,367.2000122070313,365.8999938964844,32390200.0,False,False,False,False,3658.9999389648438,1.0,2026-03-24,270.5655660460393,5.465974401097732,False,True
2026-03-24,375.7999877929688,374.2999877929688,34556500.0,False,False,False,False,3742.999877929688,1.0,2026-03-25,245.79247948359085,5.343307681608131,False,True
2026-03-25,383.5,383.6000061035156,30731800.0,False,False,False,False,3836.0000610351562,1.0,2026-03-26,18.247697557760567,5.213764254894964,False,True
2026-03-26,384.2999877929688,382.6000061035156,14377100.0,False,False,False,False,3826.0000610351562,1.0,2026-03-27,-70.57010360582039,5.227391448234539,False,True
2026-03-27,379.8999938964844,382.7000122070313,20778200.0,False,False,False,False,3827.000122070313,1.0,2026-03-30,-9033.1852934464,5.226025440830268,True,False
2026-03-30,37.0,37.63999938964844,79754900.0,True,True,False,False,376.3999938964844,1.0,2026-03-31,-135.49371142483557,53.13496366713624,True,False
2026-03-31,37.130001068115234,37.13999938964844,251780300.0,True,False,False,False,371.3999938964844,1.0,2026-04-01,93257.94461560709,53.85029706159432,True,False
2026-04-01,383.5,389.2000122070313,19862090.0,False,False,False,False,389.2000122070313,1.0,2026-04-02,92.49680043747155,51.38745984766616,False,True
2026-04-02,392.7999877929688,383.0,14557440.0,False,False,False,False,383.0,1.0,2026-04-03,99.21639146132755,52.21932114882507,False,True
2026-04-03,386.7999877929688,386.6000061035156,16726160.0,False,False,False,False,386.6000061035156,1.0,2026-04-06,15.520074858845767,51.73305660694899,False,True
2026-04-06,387.2000122070313,386.7999877929688,7404380.0,False,False,False,False,386.7999877929688,1.0,2026-04-07,38.779732351048594,51.70630980139746,False,True
2026-04-07,388.2999877929688,387.7999877929688,10961600.0,False,False,False,False,387.7999877929688,1.0,2026-04-08,404.8481872416354,51.57297738409733,False,True
2026-04-08,403.5,400.3999938964844,17892030.0,False,False,False,False,400.3999938964844,1.0,2026-04-09,7.492964913093925,49.95005071146582,False,True
2026-04-09,400.7000122070313,396.7000122070313,12475840.0,False,False,False,False,396.7000122070313,1.0,2026-04-10,55.45706129963301,50.41592988296235,False,True
2026-04-10,398.8999938964844,396.5,14727190.0,False,False,False,False,396.5,1.0,2026-04-13,-50.44136191677207,50.441361916771754,False,True
