series,n_clean,band_price_min,band_price_max,tick_yen_min,tick_yen_max,cost_roundtrip_mean_bps,cost_roundtrip_min_bps,cost_roundtrip_max_bps,last_pair_date_t,last_close_csv,last_band_price_used,last_tick_yen,per_side_bps_now,cost_mean_bps_pre_2026_04_01,cost_mean_bps_post_2026_04_01,n_pre_2026_04_01,n_post_2026_04_01
1306.T,1098,383.0,4131.000061035156,1.0,1.0,11.766086452623238,4.841442678407598,52.21932114882507,2026-09-03,427.2000122070313,427.2000122070313,1.0,23.408239031495537,7.871747331775223,48.21122237603107,992.0,106.0
1591.T,1099,15920.0,38130.0,5.0,10.0,4.888851215441121,3.3416875522138683,6.664445184938354,2026-09-03,37080.0,37080.0,10.0,2.6968716289104635,,,,
2516.T,1099,371.2000122070313,673.0999755859375,1.0,1.0,36.232362134910204,29.713268051436017,53.87930857298921,2026-09-03,616.2999877929688,616.2999877929688,1.0,16.225864348644546,,,,
1321.T,1099,25540.0,75970.0,5.0,10.0,4.443321235989392,2.6326181387389758,6.635700066357001,2026-09-03,66480.0,66480.0,10.0,1.5042117930204573,,,,
