series,n,observed_mean_gross_bps,null_mean_bps,null_p95_bps,observed_gt_null_p95,observed_mean_cons_bps,null_p95_minus_mean_cost_bps
1306.T,1098,7.495033537848948,-0.12022082114071275,5.185930343812199,True,-4.27105291477429,-6.580156108811039
1591.T,1099,12.177647417507366,-0.07613128613347764,4.909563718447686,True,7.288796202066245,0.02071250300656491
2516.T,1099,5.897188264460169,-0.10203459473053346,6.35252385141536,False,-30.335173870450035,-29.879838283494845
1321.T,1099,7.469749791425504,-0.08187292838163053,5.871733665921148,True,3.0264285554361123,1.4284124299317567
