series,regime,n,mean_opt_bps,opt_ci_lo,opt_ci_hi,mean_cons_bps,cons_ci_lo,cons_ci_hi,mean_cost_bps
1306.T,..2024-11-04(引け板寄せ 15:00),654,4.236738439943252,-1.4889098710816562,9.832694333509096,-4.413196516740314,-10.227146669885043,1.1129546527582899,8.649934956683566
1306.T,2024-11-05..(引け板寄せ 15:30),444,12.294414155034369,3.3636516406511174,20.33345430800979,-4.0616792307973055,-14.389339957575789,5.208297308849203,16.356093385831674
1591.T,..2024-11-04(引け板寄せ 15:00),654,7.377739112862361,0.9452352660998709,13.305429264164813,2.398161534819333,-4.110336397485361,8.307643604700862,4.9795775780430285
1591.T,2024-11-05..(引け板寄せ 15:30),445,19.231894678715985,7.899681481242554,29.400115010617025,14.476380634379685,3.046167914781655,24.62392736641528,4.755514044336295
2516.T,..2024-11-04(引け板寄せ 15:00),654,5.385373301117604,-3.2630040072805158,13.646822061643562,-31.081650600400337,-39.591978660491144,-22.637788285431025,36.46702390151795
2516.T,2024-11-05..(引け板寄せ 15:30),445,6.649383738675983,-0.4654449038875244,13.829530902585315,-29.238104698792743,-36.91274407010725,-21.66810202571888,35.887488437468726
1321.T,..2024-11-04(引け板寄せ 15:00),654,4.117217759550304,-2.202824128440819,10.357099783132876,-0.5233230522631694,-6.832429188932527,5.644657286846099,4.640540811813475
1321.T,2024-11-05..(引け板寄せ 15:30),445,12.396841811305016,0.8274580015685826,22.711783850140673,8.243366873268318,-3.253529463344542,18.675012535916277,4.153474938036695
