series,n,sd_bps,se_bps,mde_bps_independent,mde_bps_effective_from_ci,mde_bps_registered
1306.T,1098,100.59506261060089,3.035816347214871,8.505098204741428,7.178424588841571,5.1
1591.T,1099,99.93818176793728,3.0146201494062046,8.445715250270146,8.529746841632056,5.64
2516.T,1099,124.67472981714799,3.760794382884502,10.536185953283129,8.601767268280739,12.82
1321.T,1099,117.47908481930654,3.54373883900001,9.928086349921152,8.404123820329907,5.26
