series,stage,cost_scenario,label,n,mean,sd,t,hit_rate,ci_lo,ci_hi,sharpe
1306.T,before_exclusion,optimistic,1306.T before_exclusion optimistic,1101,83.84996588128429,2825.5462425487817,0.9846777631391941,0.5622161671207992,-0.030868137964245174,246.46433068953718,0.4645526610943691
1306.T,before_exclusion,conservative,1306.T before_exclusion conservative,1101,72.01402200194742,2824.274447510456,0.8460651952426071,0.49318801089918257,-11.376013706326532,233.54438811715468,0.39915782870555155
1306.T,after_exclusion,optimistic,1306.T after_exclusion optimistic,1098,7.495033537848948,100.59506261060089,2.4688692202099336,0.5628415300546448,2.5259076797026316,12.569831076898923,1.1647665958110762
1306.T,after_exclusion,conservative,1306.T after_exclusion conservative,1098,-4.271052914774287,100.75779591904276,-1.404615521912464,0.4936247723132969,-9.867686279915384,1.0300009085365796,-0.6626714880192245
1591.T,before_exclusion,optimistic,1591.T before_exclusion optimistic,1099,12.177647417507366,99.93818176793728,4.039529630260721,0.565059144676979,6.331747526086577,18.266416869552486,1.9057749748756112
1591.T,before_exclusion,conservative,1591.T before_exclusion conservative,1099,7.288796202066246,99.92640390622847,2.4181007680521733,0.5423111919927207,1.3446209492587875,13.362892995499852,1.1408149839920574
1591.T,after_exclusion,optimistic,1591.T after_exclusion optimistic,1099,12.177647417507366,99.93818176793728,4.039529630260721,0.565059144676979,6.331747526086577,18.266416869552486,1.9057749748756112
1591.T,after_exclusion,conservative,1591.T after_exclusion conservative,1099,7.288796202066246,99.92640390622847,2.4181007680521733,0.5423111919927207,1.3446209492587875,13.362892995499852,1.1408149839920574
2516.T,before_exclusion,optimistic,2516.T before_exclusion optimistic,1099,5.897188264460169,124.67472981714799,1.5680698448440749,0.5241128298453139,-0.2294439046998338,11.805995132636957,0.7397861985649159
2516.T,before_exclusion,conservative,2516.T before_exclusion conservative,1099,-30.335173870450035,124.48546266434589,-8.078424992961697,0.35850773430391264,-36.66165102809018,-24.3062425215564,-3.811250714109111
2516.T,after_exclusion,optimistic,2516.T after_exclusion optimistic,1099,5.897188264460169,124.67472981714799,1.5680698448440749,0.5241128298453139,-0.2294439046998338,11.805995132636957,0.7397861985649159
2516.T,after_exclusion,conservative,2516.T after_exclusion conservative,1099,-30.335173870450035,124.48546266434589,-8.078424992961697,0.35850773430391264,-36.66165102809018,-24.3062425215564,-3.811250714109111
1321.T,before_exclusion,optimistic,1321.T before_exclusion optimistic,1099,7.469749791425504,117.47908481930654,2.1078725410626915,0.5523202911737943,1.7351804205177903,13.494080277619737,0.994455074395745
1321.T,before_exclusion,conservative,1321.T before_exclusion conservative,1099,3.0264285554361137,117.45946972750383,0.8541639466237279,0.535031847133758,-2.7042690041690345,9.039322169284173,0.402978669031677
1321.T,after_exclusion,optimistic,1321.T after_exclusion optimistic,1099,7.469749791425504,117.47908481930654,2.1078725410626915,0.5523202911737943,1.7351804205177903,13.494080277619737,0.994455074395745
1321.T,after_exclusion,conservative,1321.T after_exclusion conservative,1099,3.0264285554361137,117.45946972750383,0.8541639466237279,0.535031847133758,-2.7042690041690345,9.039322169284173,0.402978669031677
