rule,series,k_trading_days,n,n_folded_back_removed,n_shifted_off_calendar,net_mean_cons_bps,ci_lo,ci_hi,observed_rule_net_mean_bps
TOM,先物,-2,615,615,2,-5.115601885448224,-18.19036312093175,7.627358965624725,-3.7785376021743455
TOM,先物,-1,308,923,1,-1.214497126735839,-18.57856681893726,14.95099695678714,-3.7785376021743455
TOM,先物,1,308,923,1,-16.314654814247845,-29.946070151995876,-2.0446678661318645,-3.7785376021743455
TOM,先物,2,602,615,1,-13.943860208330575,-27.569581053108788,-1.217090116030611,-3.7785376021743455
WD-Mon,先物,-2,1081,10,0,-1.9367157202443661,-12.65092144128756,8.155947259816264,-19.12511668992782
WD-Mon,先物,-1,1089,3,0,-9.560540242414488,-18.164858176092284,-0.777842691029867,-19.12511668992782
WD-Mon,先物,1,1181,3,0,-5.7209673348643415,-13.76301931876016,1.935977138298686,-19.12511668992782
WD-Mon,先物,2,1172,10,0,-11.481869223480317,-20.572983351503964,-2.507038503791151,-19.12511668992782
WD-Tue,先物,-2,1169,7,0,-10.934494452900758,-19.935603594436344,-2.002726098296034,-4.457004494486033
WD-Tue,先物,-1,1176,0,0,-16.697686861318473,-25.731898836841996,-7.360985873481498,-4.457004494486033
WD-Tue,先物,1,1274,0,0,-10.428500584441911,-18.284537017885448,-2.6880940713043806,-4.457004494486033
WD-Tue,先物,2,1167,7,0,-0.5266626807237276,-10.85768160191833,9.215198937849502,-4.457004494486033
WD-Wed,先物,-2,1180,0,0,-16.163108119570865,-25.202809708052946,-7.101004568548031,-7.9676276194546425
WD-Wed,先物,-1,1268,0,0,-5.886661544434073,-13.76407583907484,2.495592380769984,-7.9676276194546425
WD-Wed,先物,1,1179,0,0,-1.188015227098053,-10.887506687874014,8.451484751017738,-7.9676276194546425
WD-Wed,先物,2,1179,0,0,-10.300350583954444,-19.146487470836018,-1.6807188662340407,-7.9676276194546425
WD-Thu,先物,-2,1263,6,1,-7.377622937897834,-15.482833200116914,1.3835581169167168,-1.7784545627744612
WD-Thu,先物,-1,1282,0,1,-7.485274099976913,-15.609455264502,0.43374271493355426,-1.7784545627744612
WD-Thu,先物,1,1182,0,0,-9.76764638301011,-18.855787818955875,-1.3921708605424816,-1.7784545627744612
WD-Thu,先物,2,1176,6,1,-14.711178267341312,-24.94034703130763,-2.8935684371989967,-1.7784545627744612
WD-Fri,先物,-2,1271,10,1,-7.345554832264878,-15.476960281656808,1.0594032597574488,-10.458538547227493
WD-Fri,先物,-1,1176,4,0,-2.923805236446677,-13.746318602509634,6.951444509038852,-10.458538547227493
WD-Fri,先物,1,1176,4,1,-15.89384516806012,-26.46400076156317,-4.05928222673328,-10.458538547227493
WD-Fri,先物,2,1271,10,1,-5.463946087109642,-13.338419833335884,2.2641964893947906,-10.458538547227493
PH,先物,-2,279,12,0,7.0635748493064385,-14.262193016005071,28.102425235941183,-8.681837347902219
PH,先物,-1,276,7,0,-12.07542069019953,-26.006878505444813,1.8207932227752384,-8.681837347902219
PH,先物,1,279,7,0,26.394686402182092,-3.694264776643145,61.0262246235394,-8.681837347902219
PH,先物,2,285,12,0,-19.666696067483027,-34.345178154015876,-7.228196148945671,-8.681837347902219
SQm,1321.T,-2,48,0,0,-8.295185890812405,-53.17342833469618,35.34832507512361,-6.2305178482708214
SQm,1321.T,-1,48,0,0,-11.22087949611437,-55.36303091094687,25.66831098481716,-6.2305178482708214
SQm,1321.T,1,48,0,0,-3.7746612117191227,-40.908820906303625,26.149465228438032,-6.2305178482708214
SQm,1321.T,2,48,0,0,25.657153106023856,-11.660769900501776,69.25984730228988,-6.2305178482708214
SQq,1321.T,-2,16,0,0,21.421786380617775,,,25.241043467134187
SQq,1321.T,-1,16,0,0,-10.197035954923678,,,25.241043467134187
SQq,1321.T,1,16,0,0,-8.61853914366231,,,25.241043467134187
SQq,1321.T,2,16,0,0,8.240059215974295,,,25.241043467134187
