rule,series,n,observed_net_mean_bps,null_mean_bps,null_p50_bps,null_p95_bps,share_ge_observed,n_draws
TOM,先物,1231,-3.7785376021743455,-8.456242590277013,-8.25734865083584,-1.6672911604618772,0.124,1000
WD-Mon,先物,1092,-19.12511668992782,-8.414024595081587,-8.359456275917658,-1.4418897130577284,0.997,1000
WD-Tue,先物,1266,-4.457004494486033,-8.708081130097725,-8.75828700882862,-2.339971649137875,0.151,1000
WD-Wed,先物,1279,-7.9676276194546425,-8.693575328970002,-8.708538155435907,-2.78858702907804,0.42,1000
WD-Thu,先物,1181,-1.7784545627744612,-8.507295251224951,-8.499947784235978,-2.051753570171244,0.043,1000
WD-Fri,先物,1181,-10.458538547227493,-8.641890393139862,-8.586254372106051,-2.321476377168258,0.663,1000
PH,先物,285,-8.681837347902219,-8.376804382206439,-8.599462861678386,6.792523143574377,0.504,1000
SQm,1321.T,48,-6.2305178482708214,2.356373193314751,2.275404426558352,32.607481847762294,0.671,1000
SQq,1321.T,16,25.241043467134187,2.0995415284190013,2.4667333808293304,54.70276907068679,0.239,1000
