rule,series,n,observed_net_mean_bps,null_p95_bps,share_ge_observed,n_draws
TOM,先物,1231,-3.7785376021743455,7.456045381526002,0.807,1000
WD-Mon,先物,1092,-19.12511668992782,8.009944792969776,1.0,1000
WD-Tue,先物,1266,-4.457004494486033,7.472230526869436,0.858,1000
WD-Wed,先物,1279,-7.9676276194546425,7.223765165360178,0.969,1000
WD-Thu,先物,1181,-1.7784545627744612,7.472904097452221,0.662,1000
WD-Fri,先物,1181,-10.458538547227493,6.9042234285375,0.995,1000
PH,先物,285,-8.681837347902219,14.080938460983022,0.853,1000
SQm,1321.T,48,-6.2305178482708214,31.59277380291622,0.614,1000
SQq,1321.T,16,25.241043467134187,60.828970865232414,0.253,1000
