date_prev,date,close_prev,close,r,r_bps,nights,tick_yen,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,price_scale_splice,is_TOM,is_WD-Mon,is_WD-Tue,is_WD-Wed,is_WD-Thu,is_WD-Fri,is_PH,is_SQm,is_SQq,split,decade,year
2011-09-05,2011-09-06,8830.0,8640.0,-0.021517553793884536,-215.17553793884537,1,1.0,2.2650056625141564,0.0,-217.44054360135954,-215.17553793884537,-192.0,False,True,False,True,False,False,False,False,False,False,val,2010s,2011
2011-09-06,2011-09-07,8640.0,8830.0,0.0219907407407407,219.907407407407,1,1.0,2.314814814814815,0.0,217.59259259259218,219.907407407407,188.0,False,True,False,False,True,False,False,False,False,False,val,2010s,2011
2011-09-07,2011-09-08,8830.0,8850.0,0.0022650056625141968,22.650056625141968,1,1.0,2.2650056625141564,0.0,20.385050962627812,22.650056625141968,18.0,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
2011-09-08,2011-09-09,8850.0,8780.0,-0.00790960451977396,-79.09604519773961,1,1.0,2.2598870056497176,0.0,-81.35593220338933,-79.09604519773961,-72.0,False,False,False,False,False,False,True,False,True,True,val,2010s,2011
2011-09-09,2011-09-12,8780.0,8600.0,-0.02050113895216399,-205.0113895216399,3,1.0,2.277904328018223,0.0,-207.28929384965812,-205.0113895216399,-182.0,False,False,True,False,False,False,False,False,False,False,val,2010s,2011
2011-09-12,2011-09-13,8600.0,8690.0,0.010465116279069875,104.65116279069875,1,1.0,2.3255813953488373,0.0,102.32558139534991,104.65116279069875,88.0,False,False,False,True,False,False,False,False,False,False,val,2010s,2011
2011-09-13,2011-09-14,8690.0,8580.0,-0.012658227848101222,-126.58227848101222,1,1.0,2.3014959723820483,0.0,-128.88377445339427,-126.58227848101222,-112.0,False,False,False,False,True,False,False,False,False,False,val,2010s,2011
2011-09-14,2011-09-15,8580.0,8710.0,0.015151515151515138,151.5151515151514,1,1.0,2.331002331002331,0.0,149.18414918414905,151.5151515151514,128.0,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
2011-09-15,2011-09-16,8710.0,8900.0,0.021814006888633664,218.14006888633662,1,1.0,2.296211251435132,0.0,215.8438576349015,218.14006888633662,188.0,False,False,False,False,False,False,True,True,False,False,val,2010s,2011
2011-09-16,2011-09-20,8900.0,8770.0,-0.014606741573033655,-146.06741573033653,4,1.0,2.247191011235955,0.0,-148.3146067415725,-146.06741573033653,-132.0,False,False,False,True,False,False,False,False,False,False,val,2010s,2011
2011-09-20,2011-09-21,8770.0,8790.0,0.0022805017103761926,22.805017103761926,1,1.0,2.280501710376283,0.0,20.524515393385645,22.805017103761926,18.0,False,False,False,False,True,False,False,False,False,False,val,2010s,2011
2011-09-21,2011-09-22,8790.0,8640.0,-0.017064846416382284,-170.64846416382284,1,1.0,2.2753128555176336,0.0,-172.92377701934046,-170.64846416382284,-152.0,False,False,False,False,False,True,False,True,False,False,val,2010s,2011
2011-09-22,2011-09-26,8640.0,8410.0,-0.02662037037037035,-266.2037037037035,4,1.0,2.314814814814815,0.0,-268.51851851851836,-266.2037037037035,-232.0,False,False,True,False,False,False,False,False,False,False,val,2010s,2011
2011-09-26,2011-09-27,8410.0,8700.0,0.034482758620689724,344.82758620689725,1,1.0,2.3781212841854935,0.0,342.44946492271174,344.82758620689725,288.0,False,False,False,True,False,False,False,False,False,False,val,2010s,2011
2011-09-27,2011-09-28,8700.0,8750.0,0.005747126436781658,57.47126436781657,1,1.0,2.2988505747126435,0.0,55.17241379310393,57.47126436781657,48.0,False,False,False,False,True,False,False,False,False,False,val,2010s,2011
2011-09-28,2011-09-29,8750.0,8830.0,0.00914285714285712,91.42857142857119,1,1.0,2.2857142857142856,0.0,89.1428571428569,91.42857142857119,78.0,False,False,False,False,False,True,False,False,False,False,val,2010s,2011
