end_date,n,mean,ci_lo,ci_hi
1995-03-03,250,-1.2886358318339752,-19.979726239557564,18.017257703233902
1995-03-31,250,-2.0583183484471945,-21.227463177580912,17.027705102120215
1995-04-03,250,-3.808791347347198,-24.22200216050256,16.51386255715499
1995-04-04,250,-3.057567192363721,-22.646007763891337,17.70744836252635
1995-04-05,250,-2.598425525939434,-21.585828150372194,17.509142828626967
1995-04-28,250,-3.154947052335203,-22.894593170995233,17.550846274089576
1995-05-01,250,-3.2080678965933975,-22.634949408705047,17.361758727815417
1995-05-02,250,-3.0031474398012397,-22.99000037414096,16.763043767019337
1995-05-08,250,-2.379121705005088,-21.736790717297563,17.224024607462795
1995-05-31,250,-3.3836541212670856,-23.457888795890074,16.813399381803734
1995-06-01,250,-2.3421426970462864,-22.31963640419546,16.712331902530345
1995-06-02,250,-0.23180072030046175,-19.391979244659737,18.480597276949787
1995-06-05,250,1.3775554588851129,-17.942539223482488,19.92280190752184
1995-06-30,250,0.5012670394753787,-18.175307069879754,19.786920623924196
1995-07-03,250,1.5194512910414806,-17.212145950155804,20.29915655815567
1995-07-04,250,2.4805804025746685,-16.545896204879227,21.499772694956725
1995-07-05,250,2.23720397478361,-16.909255064806295,21.379423284121135
1995-07-31,250,1.605805246470185,-17.851278190946005,20.603241511147623
1995-08-01,250,-0.02223354642106733,-19.023623579206433,18.851919933497978
1995-08-02,250,0.9527605073095737,-17.656194310194692,19.98463753756407
1995-08-03,250,1.6100605157482624,-16.791700922428642,20.076855127486137
1995-08-31,250,1.471680327343238,-17.054981293371583,19.1790564819905
1995-09-01,250,1.801866065959519,-16.986410207396595,19.532437713258783
1995-09-04,250,1.2388604559484275,-17.715170444398545,19.592090731491883
1995-09-05,250,1.2084683194649224,-18.202592835935903,19.76149555874094
1995-09-29,250,0.5541329426895282,-19.04324832028368,19.648755147568263
1995-10-02,250,0.015473340709743752,-20.835420418981577,19.52159556848019
1995-10-03,250,0.15669895105653267,-19.845646345660853,19.171275178642055
1995-10-04,250,1.0052277495576272,-18.056157823124998,19.494502986049866
1995-10-31,250,2.042137386919605,-15.665222441758175,19.871978427316286
1995-11-01,250,2.6774944781650154,-14.040262105516181,20.87236521847752
1995-11-02,250,3.722004917138127,-12.772482948904823,21.28336506933009
1995-11-06,250,4.355034489397281,-12.288841847312368,21.178900356380638
1995-11-30,250,5.564194280035974,-10.798603903084134,22.312847347105816
1995-12-01,250,7.66439436006799,-7.50253837818734,24.00002617108202
1995-12-04,250,9.135442844167374,-6.025028416692134,24.744801954009365
1995-12-05,250,10.317490999618665,-5.74211174548123,27.049825449485056
1995-12-29,250,6.512811354455078,-9.216523586886586,22.915580773803594
1996-01-04,250,8.000545980928242,-7.500247655797575,24.339108200920123
1996-01-05,250,8.20586860887676,-6.644813006467023,23.5830871012459
1996-01-08,250,9.733855625310982,-4.104959913323185,25.78034506752113
1996-01-31,250,9.700478326604172,-4.56084039397277,25.499734772973888
1996-02-01,250,9.637168370003137,-4.708818039479733,25.085710981262057
1996-02-02,250,9.833199174834315,-4.704144389060114,25.860230499068102
1996-02-05,250,8.804638562700685,-6.016799772360069,25.12858234381968
1996-02-29,250,10.691465843197124,-3.474395707481404,26.975793024685892
1996-03-01,250,10.25187461657195,-4.156783628624185,26.345914750853144
1996-03-04,250,11.014067978765317,-3.147483310604234,26.86088839145596
1996-03-05,250,10.328323440918489,-4.1169321657365945,25.892189346498935
1996-03-29,250,11.437940821314216,-2.6760569910715497,26.70773622379645
1996-04-01,250,13.257708892455437,-0.43929709007265066,28.410096218609958
1996-04-02,250,13.642227300280458,-1.1590246611823836,28.644354966647
1996-04-03,250,13.41567211259815,-1.5319808999760707,28.654513951072445
1996-04-30,250,12.726156891982807,-1.9529695706979937,28.242591236579674
1996-05-01,250,11.580151819971997,-3.2214736714262973,26.796011423380723
1996-05-02,250,10.98087616768128,-4.131216248090306,26.11210298602773
1996-05-07,250,11.52959173676325,-3.3212425487496273,26.73877169423176
1996-05-31,250,11.390854118033774,-3.702911032888013,26.934436658852405
1996-06-03,250,10.624033147358942,-4.879301532648274,25.501089022956076
1996-06-04,250,11.467793565383477,-4.172336722254793,27.00187314539181
1996-06-05,250,11.623541613454844,-3.6853072084333722,27.094310499644777
