rule,series,n,net_mean_cons_bps,ci_lo,ci_hi,ci_lo_t_supp,ci_hi_t_supp,mde_bps,net_minus_mde,null_A_p95,net_minus_nullA,diff_gross_bps,diff_ci_lo,diff_ci_hi,null_B_p95,diff_minus_nullB,ci_excludes_zero_positive,diff_ci_excludes_zero_positive
TOM,先物(主系列),1231,-3.7785376021743455,-12.179918400544791,4.55611650727222,-12.608964909044703,5.051889704696011,12.60984944511016,-16.388387047284507,15.492598907421607,-19.27113650959595,5.965682582671691,-3.4246844227421307,14.973577550889283,24.912368788152197,-18.946686205480507,False,False
WD-Mon,先物(主系列),1092,-19.12511668992782,-28.94624138868983,-9.121862872485536,-28.97276778692555,-9.277465592930092,14.060680219269377,-33.1857969091972,15.492598907421607,-34.61771559734943,-13.004077350574608,-23.551415063198387,-1.772543152087977,24.912368788152197,-37.916446138726805,False,False
WD-Tue,先物(主系列),1266,-4.457004494486033,-11.942237088194988,3.940104333870125,-13.151667744702532,4.237658755730467,12.416316746484572,-16.873321240970604,15.492598907421607,-19.94960340190764,5.17187799441576,-3.5877971702088423,14.887182030143787,24.912368788152197,-19.740490793736438,False,False
WD-Wed,先物(主系列),1279,-7.9676276194546425,-16.6892258279974,-0.1292792086277623,-16.402123133256296,0.46686789434701126,12.044904454248883,-20.012532073703525,15.492598907421607,-23.460226526876248,0.7397571969080207,-8.538090935368974,9.478482304291001,24.912368788152197,-24.172611591244177,False,False
WD-Thu,先物(主系列),1181,-1.7784545627744612,-12.85845923484805,8.987946672137294,-10.576160404488304,7.019251278939381,12.562598860245618,-14.34105342302008,15.492598907421607,-17.27105347019607,8.424969717658737,-3.435539797819748,19.593860204512477,24.912368788152197,-16.48739907049346,False,False
WD-Fri,先物(主系列),1181,-10.458538547227493,-19.34760328124021,-2.35159580345103,-18.803465169572807,-2.1136119248821785,11.916057158633791,-22.37459570586128,15.492598907421607,-25.9511374546491,-2.409914042193044,-12.013041123350712,6.5235892214867865,24.912368788152197,-27.32228283034524,False,False
PH,先物(主系列),285,-8.681837347902219,-21.18594920921503,4.370631716263046,-25.614473680612377,8.250798984807938,24.10047585249765,-32.78231320039987,15.492598907421607,-24.174436255323826,-0.010683169014842286,-12.44838136406402,12.925331349824159,24.912368788152197,-24.92305195716704,False,False
SQm,1321.T,48,-6.2305178482708214,-39.97871800213689,27.592294257423166,-45.187793565159,32.726757868617355,54.252587279762636,-60.48310512803346,53.57774263377926,-59.80826048205008,-10.67512273401664,-45.38153251695266,23.704272002802185,50.83085528337222,-61.50597801738886,False,False
SQq,1321.T,16,25.241043467134187,,,-58.58942735349315,109.07151428776153,110.18708296830364,-84.94603950116945,53.57774263377926,-28.336699166645072,21.465927710376956,,,50.83085528337222,-29.364927572995267,False,False
