series,n,slope,slope_unit,slope_ci_lo,slope_ci_hi,slope_mde,half_diff,half_diff_ci_lo,half_diff_ci_hi,mean_first,mean_second,last_window_mean,last_window_ci_lo,last_window_ci_hi,judgment
TOM_グロス,1231,-0.024729844567757748,bps/year,-1.255615179153913,1.0955770058539427,1.6417058627337628,2.7543548126910826,-14.108998291619677,20.129952624536305,3.6152116889995805,6.369566501690663,0.2033446881466816,-14.501818465800026,14.502070734973412,判定不能(標本不足)
TOM_費用,1231,0.23698738617614404,bps/year,0.16477137927936444,0.30923500647010915,0.10418813013621869,3.4328823868633638,2.325270744394109,4.470449575398285,7.054209903935806,10.48709229079917,10.493722125520383,9.059049772193212,11.921059054092142,拡大
TOM_ネット(保守),1231,-0.2617172307439025,bps/year,-1.4879403140970429,0.8606529433544747,1.634003679511227,-0.678527574172282,-17.404038819907083,16.457092142261867,-3.438998214936225,-4.117525789108507,-10.290377437373706,-25.601556850352736,4.3228931014848415,判定不能(標本不足)
全日_グロス,5999,0.60906370212499,bps/year,0.14157291546454084,1.1036444334302966,0.6895496377763947,8.76941239607066,2.069514019399634,16.225046328991503,-4.133448607583996,4.635963788486664,9.403648955551487,-4.318295066407674,23.7791029587921,判定不能(標本不足)
全日_費用,5999,0.2378430774986765,bps/year,0.20298859109882103,0.2727628967544073,0.05055081886614882,3.461153117740899,2.9316089024494842,3.9606842793223787,7.050825027789328,10.511978145530227,6.772086334608384,6.394971976689129,7.162349401267426,拡大
全日_ネット(保守),5999,0.3712206246263133,bps/year,-0.10310578198986926,0.8721244481515078,0.6916685641079381,5.30825927832976,-1.3613023567327516,12.823170440896977,-11.184273635373325,-5.876014357043565,2.631562620943103,-11.102433322013692,16.841180064580335,判定不能(標本不足)
