rule,variable,state_a,state_b,n_a,n_b,mean_a,mean_b,diff,ci_lo,ci_hi,se,mde,null_p95,verdict
TOM,実現ボラ20日三分位,1_低,2_中,414,389,3.6869016029335353,-4.766275560063005,8.45317716299654,-9.662325005515363,26.09415312349611,9.162392693838672,25.669223938067056,46.225964235140225,判定不能
TOM,実現ボラ20日三分位,1_低,3_高,414,423,3.6869016029335353,15.287601534630248,-11.600699931696713,-33.79114762670022,10.135896133084803,11.521654588399404,32.278897188674634,46.225964235140225,判定不能
TOM,実現ボラ20日三分位,2_中,3_高,389,423,-4.766275560063005,15.287601534630248,-20.053877094693252,-42.137594287515434,2.292888379116785,11.843270861215336,33.179932584656974,46.225964235140225,判定不能
TOM,直前日リターンの符号,1_非正,2_正,607,623,3.3614304719722496,6.706689821876496,-3.345259349904246,-19.443986071157305,13.20393432289896,8.213194703102173,23.009964877694863,46.225964235140225,判定不能
TOM,制度区分(年代),1990s,2000s,479,480,4.346705318907451,7.874614526517179,-3.5279092076097287,-23.33573157480281,17.220887768949346,10.452175203167968,29.282659551412827,46.225964235140225,判定不能
TOM,制度区分(年代),1990s,2010s,479,272,4.346705318907451,1.0482401959238083,3.298465122983642,-15.082604960365892,23.319610586137024,9.757133556206268,27.33544114697353,46.225964235140225,判定不能
TOM,制度区分(年代),2000s,2010s,480,272,7.874614526517179,1.0482401959238083,6.826374330593371,-14.304148015054293,27.604560530180773,10.977679856149598,30.754905619511682,46.225964235140225,判定不能
TOM,泊数,1_1泊,2_2〜3泊,901,254,3.1544358991218737,-7.385518248551906,10.53995414767378,-14.426682519272385,36.03675088970586,13.061027124769462,36.591580532487775,46.225964235140225,判定不能
TOM,泊数,1_1泊,3_4泊以上,901,76,3.1544358991218737,68.16819794473113,-65.01376204560925,-99.92522073880218,-27.542104294664085,18.52943018560322,51.911777717066634,46.225964235140225,候補
TOM,泊数,2_2〜3泊,3_4泊以上,254,76,-7.385518248551906,68.16819794473113,-75.55371619328304,-117.00437703271314,-33.02015289747693,21.335501759484494,59.77322636078604,46.225964235140225,候補
WD-Mon,実現ボラ20日三分位,1_低,2_中,360,368,-8.659503705865816,-7.214736346212794,-1.4447673596530226,-23.38919979859129,20.28931700004446,11.108662138750098,31.121863646343733,46.97033063602623,判定不能
WD-Mon,実現ボラ20日三分位,1_低,3_高,360,361,-8.659503705865816,-16.023583745896012,7.364080040030196,-14.957258916749993,28.83557789346223,11.241932843089737,31.495232881694076,46.97033063602623,判定不能
WD-Mon,実現ボラ20日三分位,2_中,3_高,368,361,-7.214736346212794,-16.023583745896012,8.808847399683218,-16.75820063067643,33.399430693640575,12.749535683334736,35.718910714443844,46.97033063602623,判定不能
