rule,series,n,days_per_year,sharpe_annualised,hit_rate,max_drawdown_yen_1unit,net_mean_1990s,n_1990s,net_mean_2000s,n_2000s,net_mean_2010s,n_2010s,gross_mean_1321_bps,n_1321,n_1321_splice_excluded,gross_mean_1306_bps,n_1306,n_1306_splice_excluded
TOM,先物,1231,48.005845611787315,-0.16578136838764082,0.4760357432981316,115120.0,-1.9941586868025785,479,-2.294752368591666,480,-9.539325883728619,272,-3.388032917176373,191,0,-0.25267495798573836,190,1
WD-Mon,先物,1092,42.617053103964096,-0.752804122038231,0.45054945054945056,368724.0,-24.422784912324897,438,-12.091814618697601,418,-21.75029289486135,236,-1.4920299228501357,177,0,0.1997230938449167,176,1
WD-Tue,先物,1266,49.40768244470563,-0.19867101699895484,0.47393364928909953,146288.0,-3.404285872641223,491,-4.5715989997649356,496,-6.105914776591648,279,10.943868914156063,198,0,3.8613150129312976,198,0
WD-Wed,先物,1279,49.91502831499092,-0.36610856999600794,0.4628616106333073,207976.0,-4.840555923912057,493,-17.054657879810655,502,2.6663260594053035,284,9.529795395433222,200,0,13.744708791680539,200,0
WD-Thu,先物,1181,46.090420985147986,-0.07835153470778476,0.47671464860287893,107268.0,1.790825151420905,456,-6.0906477041664475,462,-0.3919842903409614,263,8.081329312344833,203,0,7.799511409037382,203,0
WD-Fri,先物,1181,46.05597373478539,-0.48557944749258836,0.48602878916172737,255660.0,-16.45644103263482,460,-10.79663861476271,459,0.6644502859253182,262,16.539287818008425,200,0,15.108808362914228,200,0
PH,先物,285,11.172721906192981,-0.19982366929348147,0.45614035087719296,46072.0,-0.2351859759241501,110,-18.80699052242503,112,-5.429686480775737,63,11.527511654513901,47,0,9.736028210124946,47,0
SQm,1321.T,48,12.217421602787457,-0.16232173994072407,0.5208333333333334,1790.0,,0,,0,-6.2305178482708214,48,-1.1970765857696506,48,0,-1.3874774240194228,48,0
SQq,1321.T,16,4.259475218658892,0.33112998752805267,0.75,510.0,,0,,0,25.241043467134187,16,30.06886063306277,16,0,9.164850534812906,16,0
