date_prev,date,close_prev,close,r,r_bps,nights,close_prev_day_session,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,cost_bps_cons_fullday_base,sq_adjacent_excluded,is_TOM,is_WD-Mon,is_WD-Tue,is_WD-Wed,is_WD-Thu,is_WD-Fri,is_PH,is_SQm,is_SQq,split,decade,year,vol20,state_vol,state_prev_sign,state_regime,state_nights
1990-01-04,1990-01-05,39080.0,38800.0,-0.007164790174002067,-71.64790174002067,1,39080.0,3.1218014329580344,0.5629477993858751,-74.76970317297871,-72.21084953940655,-2922.0,3.1218014329580344,False,True,False,False,False,False,True,False,False,False,train,1990s,1990,,,,1990s,1_1泊
1990-01-05,1990-01-08,38800.0,38820.0,0.0005154639175257714,5.154639175257714,3,38800.0,3.1443298969072164,0.5670103092783505,2.010309278350497,4.587628865979363,78.0,3.1443298969072164,False,True,True,False,False,False,False,False,False,False,train,1990s,1990,,,1_非正,1990s,2_2〜3泊
1990-01-08,1990-01-09,38820.0,38440.0,-0.009788768675940251,-97.88768675940251,1,38820.0,3.1427099433281813,0.5667181865018032,-101.0303967027307,-98.45440494590432,-3922.0,3.1427099433281813,False,False,False,True,False,False,False,False,False,False,train,1990s,1990,,,2_正,1990s,1_1泊
1990-01-09,1990-01-10,38440.0,38220.0,-0.00572320499479706,-57.232049947970594,1,38440.0,3.173777315296566,0.5723204994797086,-60.40582726326716,-57.8043704474503,-2322.0,3.173777315296566,False,False,False,False,True,False,False,False,False,False,train,1990s,1990,,,1_非正,1990s,1_1泊
1990-01-10,1990-01-11,38220.0,38500.0,0.0073260073260073,73.260073260073,1,38220.0,3.1920460491889067,0.5756148613291471,70.0680272108841,72.68445839874386,2678.0,3.1920460491889067,False,False,False,False,False,True,False,False,False,False,train,1990s,1990,,,1_非正,1990s,1_1泊
1990-01-11,1990-01-12,38500.0,38230.0,-0.007012987012987026,-70.12987012987027,1,38500.0,3.168831168831169,0.5714285714285714,-73.29870129870145,-70.70129870129884,-2822.0,3.168831168831169,False,False,False,False,False,False,True,True,True,False,train,1990s,1990,,,2_正,1990s,1_1泊
1990-01-12,1990-01-16,38230.0,37150.0,-0.02825006539366992,-282.5006539366992,4,38230.0,3.191211090766414,0.5754642950562385,-285.6918650274656,-283.07611823175546,-10922.0,3.191211090766414,False,False,False,True,False,False,False,False,False,False,train,1990s,1990,,,1_非正,1990s,3_4泊以上
1990-01-16,1990-01-17,37150.0,37430.0,0.00753701211305513,75.3701211305513,1,37150.0,3.2839838492597577,0.5921938088829071,72.08613728129154,74.77792732166839,2678.0,3.2839838492597577,False,False,False,False,True,False,False,False,False,False,train,1990s,1990,,,1_非正,1990s,1_1泊
1990-01-17,1990-01-18,37430.0,37100.0,-0.008816457387122667,-88.16457387122666,1,37430.0,3.2594175794816995,0.5877638258081752,-91.42399145070837,-88.75233769703485,-3422.0,3.2594175794816995,False,False,False,False,False,True,False,False,False,False,train,1990s,1990,,,2_正,1990s,1_1泊
1990-01-18,1990-01-19,37100.0,37390.0,0.00781671159029651,78.1671159029651,1,37100.0,3.288409703504043,0.5929919137466307,74.87870619946105,77.57412398921846,2778.0,3.288409703504043,False,False,False,False,False,False,True,False,False,False,train,1990s,1990,,,1_非正,1990s,1_1泊
1990-01-19,1990-01-22,37390.0,37920.0,0.014174913078363272,141.74913078363272,3,37390.0,3.262904519925114,0.5883926183471516,138.4862262637076,141.16073816528558,5178.0,3.262904519925114,False,False,True,False,False,False,False,False,False,False,train,1990s,1990,,,2_正,1990s,2_2〜3泊
1990-01-22,1990-01-23,37920.0,37690.0,-0.006065400843881852,-60.65400843881852,1,37920.0,3.2172995780590714,0.580168776371308,-63.87130801687759,-61.23417721518983,-2422.0,3.2172995780590714,False,False,False,True,False,False,False,False,False,False,train,1990s,1990,,,2_正,1990s,1_1泊
1990-01-23,1990-01-24,37690.0,37200.0,-0.01300079596710002,-130.0079596710002,1,37690.0,3.2369328734412313,0.5837092066861236,-133.24489254444143,-130.59166887768635,-5022.0,3.2369328734412313,False,False,False,False,True,False,False,False,False,False,train,1990s,1990,,,1_非正,1990s,1_1泊
1990-01-24,1990-01-25,37200.0,37450.0,0.006720430107526987,67.20430107526987,1,37200.0,3.2795698924731185,0.5913978494623656,63.92473118279675,66.6129032258075,2378.0,3.2795698924731185,False,False,False,False,False,True,False,False,False,False,train,1990s,1990,,,1_非正,1990s,1_1泊
1990-01-25,1990-01-26,37450.0,37310.0,-0.0037383177570093906,-37.383177570093906,1,37450.0,3.2576769025367156,0.5874499332443257,-40.64085447263062,-37.970627503338235,-1522.0,3.2576769025367156,False,False,False,False,False,False,True,False,False,False,train,1990s,1990,,,2_正,1990s,1_1泊
1990-01-26,1990-01-29,37310.0,37570.0,0.006968641114982521,69.6864111498252,3,37310.0,3.269900830876441,0.5896542481908336,66.41651031894877,69.09675690163436,2478.0,3.269900830876441,False,False,True,False,False,False,False,False,False,False,train,1990s,1990,,,1_非正,1990s,2_2〜3泊
1990-01-29,1990-01-30,37570.0,37560.0,-0.00026616981634286496,-2.6616981634286496,1,37570.0,3.247271759382486,0.5855735959542189,-5.908969922811135,-3.2472717593828686,-222.0,3.247271759382486,False,False,False,True,False,False,False,False,False,False,train,1990s,1990,,,2_正,1990s,1_1泊
1990-01-30,1990-01-31,37560.0,37470.0,-0.0023961661341852514,-23.961661341852512,1,37560.0,3.248136315228967,0.5857294994675186,-27.20979765708148,-24.54739084132003,-1022.0,3.248136315228967,False,True,False,False,True,False,False,False,False,False,train,1990s,1990,,,1_非正,1990s,1_1泊
1990-01-31,1990-02-01,37470.0,37620.0,0.004003202562049557,40.032025620495574,1,37470.0,3.2559380838003738,0.5871363757672805,36.7760875366952,39.444889244728294,1378.0,3.2559380838003738,False,True,False,False,False,True,False,False,False,False,train,1990s,1990,,,1_非正,1990s,1_1泊
1990-02-01,1990-02-02,37620.0,37840.0,0.005847953216374213,58.479532163742135,1,37620.0,3.2429558745348217,0.584795321637427,55.23657628920731,57.894736842104706,2078.0,3.2429558745348217,False,True,False,False,False,False,True,False,False,False,train,1990s,1990,,,2_正,1990s,1_1泊
1990-02-02,1990-02-05,37840.0,37920.0,0.0021141649048626032,21.141649048626032,3,37840.0,3.2241014799154337,0.5813953488372093,17.9175475687106,20.560253699788824,678.0,3.2241014799154337,False,True,True,False,False,False,False,False,False,False,train,1990s,1990,0.009728369305977242,1_低,2_正,1990s,2_2〜3泊
1990-02-05,1990-02-06,37920.0,37980.0,0.0015822784810126667,15.822784810126667,1,37920.0,3.2172995780590714,0.580168776371308,12.605485232067595,15.24261603375536,478.0,3.2172995780590714,False,False,False,True,False,False,False,False,False,False,train,1990s,1990,0.009668363326169964,1_低,2_正,1990s,1_1泊
1990-02-06,1990-02-07,37980.0,37750.0,-0.006055818852027328,-60.55818852027328,1,37980.0,3.2122169562927856,0.5792522380200106,-63.77040547656607,-61.137440758293295,-2422.0,3.2122169562927856,False,False,False,False,True,False,False,False,False,False,train,1990s,1990,0.009680689779987981,1_低,2_正,1990s,1_1泊
