step,n
full_day_daily 未封印行(開発セット),6306
day_session_daily 未封印行(費用の元本),6306
端点規則適用後の close→close ペア(先物),6305
うちメジャーSQ隣接(SQ日またはその前営業日を端点に含む),306
メジャーSQ隣接除外後(TOM/WD/PH の主指標の分母),5999
導出した祝日(暦日),413
祝日前(PH)日数,298
1321.T 未封印行 / ペア,978
1306.T 未封印行 / ペア,978
規則日数 TOM(先物カレンダー),1232
規則日数 WD-Mon(先物カレンダー),1184
規則日数 WD-Tue(先物カレンダー),1276
規則日数 WD-Wed(先物カレンダー),1280
規則日数 WD-Thu(先物カレンダー),1284
規則日数 WD-Fri(先物カレンダー),1282
規則日数 PH(先物カレンダー),298
規則日数 SQm(先物カレンダー),308
規則日数 SQq(先物カレンダー),102
