rule,variable,state,n,mean,ci_lo,ci_hi,cost_mean,net_mean,net_ci_lo,net_ci_hi,mde_bps
TOM,実現ボラ20日三分位,1_低,414,3.6869016029335353,-8.208937356583144,15.660505623067145,8.651330459071508,-4.964428856137974,-16.50835476261448,6.959949973701784,17.059568221607854
TOM,実現ボラ20日三分位,2_中,389,-4.766275560063005,-17.354648207647998,8.48105185062449,8.662434523612806,-13.42871008367581,-26.67866377158219,-0.2933412378646839,18.46485852530585
TOM,実現ボラ20日三分位,3_高,423,15.287601534630248,-4.509514881805413,34.72296708976281,9.056824918932374,6.23077661569787,-12.383595628231527,26.507468265553747,28.039581957047165
TOM,直前日リターンの符号,1_非正,607,3.3614304719722496,-8.877746238188346,15.999064106566056,8.789804630043841,-5.428374158071593,-18.874655088261807,7.727029495034872,17.77953694077177
TOM,直前日リターンの符号,2_正,623,6.706689821876496,-3.4231104731947917,16.4008407732943,8.763811765944206,-2.0571219440677084,-12.140266522518138,8.28410573882669,14.16824217471804
TOM,制度区分(年代),1990s,479,4.346705318907451,-8.169803397673691,16.73957872234486,6.34086400571003,-1.9941586868025785,-14.1860382952887,10.151653688121982,17.802816094067946
TOM,制度区分(年代),2000s,480,7.874614526517179,-9.121058488117576,24.351758942670592,10.169366895108844,-2.294752368591666,-18.799125936367577,13.436766628430407,23.923131051561786
TOM,制度区分(年代),2010s,272,1.0482401959238083,-13.384277872854819,15.12803224637085,10.587566079652428,-9.539325883728619,-24.44563758669041,4.36870219559894,20.377840406634263
TOM,泊数,1_1泊,901,3.1544358991218737,-8.180266554379358,12.77521576627225,8.782481908505401,-5.628046009383529,-15.64852958403683,4.494220200417506,14.976951098969089
TOM,泊数,2_2〜3泊,254,-7.385518248551906,-30.475948368837955,14.50204270948959,8.780793578510686,-16.16631182706259,-41.345716582786366,6.060257269765321,32.145915927981996
TOM,泊数,3_4泊以上,76,68.16819794473113,32.039822708675935,99.515840132284,8.619081230891174,59.549116713839965,22.482907266105755,92.5980302411403,48.22532823835954
WD-Mon,実現ボラ20日三分位,1_低,360,-8.659503705865816,-20.70299940700841,4.284707932814044,8.337934574544152,-16.99743828040997,-29.036477278334605,-4.787501496005633,17.858795382393033
WD-Mon,実現ボラ20日三分位,2_中,368,-7.214736346212794,-24.73767172045765,10.949632220231415,8.906566093471984,-16.121302439684776,-32.907657888512134,1.1537091672319053,25.505831733923415
WD-Mon,実現ボラ20日三分位,3_高,361,-16.023583745896012,-33.196150555286806,2.113111018489999,9.01747828321923,-25.041062029115245,-44.28580255169102,-5.954023273439796,25.235643629638957
WD-Mon,直前日リターンの符号,1_非正,525,-13.301688525760401,-28.568895042018344,1.103114168331864,8.676579827450839,-21.978268353211234,-37.372449205344815,-7.3374278558454185,21.20668110385717
WD-Mon,直前日リターンの符号,2_正,567,-7.684270519671138,-23.08804893792429,6.782306472300974,8.79903907462389,-16.48330959429503,-31.353056408986856,-2.4868003283618267,21.348439775442007
WD-Mon,制度区分(年代),1990s,438,-18.050028504724356,-35.17714286987114,-1.252065468688701,6.372756407600542,-24.422784912324897,-41.788486077795795,-6.020136232280206,24.246362717479634
WD-Mon,制度区分(年代),2000s,418,-1.9125540569594512,-16.018821474762685,12.687865988054266,10.179260561738149,-12.091814618697601,-27.151770647526014,2.5340429277404413,20.516762523776148
WD-Mon,制度区分(年代),2010s,236,-11.165287202539954,-25.081156118821646,3.6776999966212633,10.585005692321404,-21.75029289486135,-37.04706236007105,-6.487877667670684,20.554047628806064
WD-Mon,泊数,2_2〜3泊,1045,-12.794444374493189,-22.7885594638382,-2.8437261589369025,8.727094823019188,-21.521539197512375,-31.206232662354214,-11.135122060400699,14.254636973457567
WD-Mon,泊数,3_4泊以上,47,43.18779809931135,-37.047149661006394,126.96073262895237,9.030754780178356,34.15704331913302,-43.78800743090859,116.1660944690209,117.21696476923711
WD-Tue,実現ボラ20日三分位,1_低,430,0.561116377345771,-7.57237542018278,9.265026891808375,8.433349167092826,-7.872232789747057,-16.28325620537011,0.6140366673452867,12.033745976433307
WD-Tue,実現ボラ20日三分位,2_中,420,0.5690495738599517,-13.395600302090397,14.481612140428538,8.90508527967817,-8.33603570581822,-22.68206336618559,5.368972105881881,19.923934039719878
WD-Tue,実現ボラ20日三分位,3_高,412,13.223943652888666,-9.165451313726708,37.739429891197105,9.097414658506496,4.12652899438217,-17.957975592264237,28.145335973400076,33.523070543539475
WD-Tue,直前日リターンの符号,1_非正,655,14.027791216432059,1.523653210092882,27.392507448228276,8.83248041608137,5.195310800350692,-7.283553497441559,18.858338122471476,18.488553925055434
WD-Tue,直前日リターンの符号,2_正,611,-6.061148356450667,-16.210254600402703,4.620942752591086,8.74326451466066,-14.804412871111326,-25.698228016065176,-4.97464893743144,14.888124229968144
WD-Tue,制度区分(年代),1990s,491,2.923255995839508,-6.067763370611835,11.777068517644906,6.327541868480731,-3.404285872641223,-12.253902271049201,5.591985001978974,12.753759158115859
WD-Tue,制度区分(年代),2000s,496,5.615570536251434,-10.456171818311422,22.669235379058275,10.187169536016368,-4.5715989997649356,-19.666413124709365,11.329027264713519,23.674835832316834
WD-Tue,制度区分(年代),2010s,279,4.531182512665708,-14.363558361172668,22.170095871738315,10.637097289257358,-6.105914776591648,-25.176044137014536,12.36216495210854,26.110721029490428
WD-Tue,泊数,1_1泊,1144,1.2048195087931386,-6.791681669676946,9.04133593931611,8.747619382293664,-7.542799873500526,-15.781183732278873,0.4039152243619408,11.315908975538767
WD-Tue,泊数,3_4泊以上,122,33.66006625337945,-10.765584636511264,92.87238599476157,9.1814157184181,24.478650534961343,-20.35666726571636,81.97423994506312,74.07039334099674
WD-Wed,実現ボラ20日三分位,1_低,424,-2.6783097853898887,-10.527447016619057,5.908426903143891,8.414734860186744,-11.093044645576631,-18.981516200663545,-2.6347734995006404,11.746772333773551
WD-Wed,実現ボラ20日三分位,2_中,427,5.817079791309395,-4.445277309477106,16.354564839571452,8.959281959597526,-3.1422021682881276,-12.335718470170951,5.968832344424322,14.865714564134631
WD-Wed,実現ボラ20日三分位,3_高,424,-0.3437183388215639,-17.92917100634039,17.979937056799056,9.082343193054536,-9.426061531876105,-27.562698455301856,8.407784172386284,25.664355858763784
WD-Wed,直前日リターンの符号,1_非正,648,10.269312089342815,-1.3283982348456584,21.752067307978106,8.812009448030752,1.457302641312061,-10.741078948815213,13.680426457890347,16.495683491648872
WD-Wed,直前日リターンの符号,2_正,631,-8.855455843900094,-19.81272205431404,2.3474741439409645,8.791022502934618,-17.646478346834716,-29.242863778008378,-6.770541553042469,15.837964009911929
WD-Wed,制度区分(年代),1990s,493,1.4889768382758344,-9.778582456314492,13.784719586102531,6.329532762187895,-4.840555923912057,-16.899728118328877,7.297887382916417,16.84076830203661
WD-Wed,制度区分(年代),2000s,502,-6.859596405316235,-22.392238005927087,8.808312285258028,10.195061474494421,-17.054657879810655,-32.176020471598115,-2.4627935239555914,22.299134365974115
WD-Wed,制度区分(年代),2010s,284,13.296385248563196,1.0277263364805056,25.4795652610626,10.63005918915789,2.6663260594053035,-9.56114337026458,14.695806654700787,17.475808490097666
WD-Wed,泊数,1_1泊,1238,-1.4124954623290493,-9.24532115646914,6.237060095457026,8.802031294400395,-10.214526756729445,-18.50787613421811,-2.6910092394936584,11.0653080352714
WD-Wed,泊数,2_2〜3泊,33,54.4030326993141,-4.026480877596438,110.61110351466813,8.900930685652114,45.502102013662,-9.353560708730619,101.83309421051976,81.93185292876146
WD-Wed,泊数,3_4泊以上,8,127.51136245989795,,,8.333983322683057,119.17737913721488,,,
WD-Thu,実現ボラ20日三分位,1_低,386,4.685293685448102,-5.361508261069498,14.087020949287066,8.453708146400919,-3.7684144609528163,-13.606729899468446,4.958417618938982,13.899926829330305
WD-Thu,実現ボラ20日三分位,2_中,385,8.916371393487498,-3.1618735545739822,20.945049407768074,8.871404126409024,0.044967267078474135,-12.366148000960386,11.608820475107459,17.22929593454403
WD-Thu,実現ボラ20日三分位,3_高,406,7.278406761422108,-15.929887203189606,30.01901506602911,9.106988310717014,-1.8285815492949111,-26.25834086027633,20.564132490704186,32.83982930133768
WD-Thu,直前日リターンの符号,1_非正,601,8.979549720365096,-6.397675553495778,23.6685526413643,8.742428307577596,0.2371214127875013,-15.491318598319793,15.500936037352362,21.488430689142113
WD-Thu,直前日リターンの符号,2_正,580,4.986175755790031,-5.873459105398526,16.350860679396188,8.853184044965769,-3.8670082891757396,-15.503928591801452,6.910068933712665,15.88379334493751
WD-Thu,制度区分(年代),1990s,456,8.120575667626321,-7.782215304208786,24.98195306860295,6.329750516205419,1.790825151420905,-13.150716198159381,17.90427522888478,23.416657274187354
WD-Thu,制度区分(年代),2000s,462,4.146026961761067,-17.12819391640052,22.652183041827936,10.236674665927515,-6.0906477041664475,-27.12174913269612,13.164575844767858,28.43116427889589
WD-Thu,制度区分(年代),2010s,263,10.153020378427469,-3.474031609039643,24.5677064360422,10.545004668768433,-0.3919842903409614,-14.388836835727705,13.849794895379317,20.041521020845327
WD-Thu,泊数,1_1泊,1142,7.332162641835152,-2.7551388287607,17.207814067163024,8.807037639381068,-1.4748749975459154,-12.24673865392707,8.390747922832231,14.267587103858943
WD-Thu,泊数,2_2〜3泊,29,-14.572894626984043,-78.47132725944108,52.296565725892165,8.386608368886952,-22.959502995871,-87.98352095109807,39.36206447689665,93.46023673368065
WD-Thu,泊数,3_4泊以上,10,33.797552750443394,,,8.819753206337882,24.97779954410551,,,
WD-Fri,実現ボラ20日三分位,1_低,388,-0.3811918724975168,-13.071621654195893,12.397760387496369,8.408741094050328,-8.789932966547847,-20.658492499591528,3.3890545813020045,18.20304985218423
WD-Fri,実現ボラ20日三分位,2_中,386,-7.844992267672343,-20.05474354262865,3.3969978591271106,8.884726615801918,-16.72971888347426,-28.594545153937315,-5.3858105167932315,16.761035550760024
WD-Fri,実現ボラ20日三分位,3_高,402,3.060637058593784,-15.124527542863433,20.510667968413816,9.092414590380839,-6.031777531787058,-24.79548238006533,11.77571824924303,25.468589670619735
WD-Fri,直前日リターンの符号,1_非正,596,-7.994745565102197,-21.17543301980197,3.6771968863797997,8.839182728640111,-16.833928293742314,-28.759922953442416,-5.000642333051899,17.762255102992402
WD-Fri,直前日リターンの符号,2_正,584,4.877240741218825,-6.24942861887015,16.03085454109599,8.719266525520661,-3.842025784301838,-15.371304443834388,7.347824667858419,15.923790550463515
WD-Fri,制度区分(年代),1990s,460,-10.137410139367342,-22.77784039075394,2.4318212039133256,6.319030893267478,-16.45644103263482,-28.717464190191702,-4.348529141453528,18.017426807342055
WD-Fri,制度区分(年代),2000s,459,-0.5670504177760548,-16.598320804996543,11.867671848254751,10.22958819698666,-10.79663861476271,-25.806188778529183,2.289400919560774,20.344737163658905
WD-Fri,制度区分(年代),2010s,262,11.203347863355141,-4.602140049048573,28.26328110385972,10.538897577429823,0.6644502859253182,-14.47995021522327,18.252419274802755,23.489022964126463
WD-Fri,泊数,1_1泊,1144,-2.6288431073802845,-11.055231418799238,5.428533617836048,8.781419186753693,-11.410262294133977,-20.069368704766834,-2.853684298126548,11.781000270143458
WD-Fri,泊数,2_2〜3泊,30,8.869826837586304,-27.010718423163784,42.502691243877564,8.383722380512374,0.4861044570739298,-33.30785249981061,33.46211582986998,49.68145907478738
WD-Fri,泊数,3_4泊以上,7,107.58486343518835,,,9.41016250641938,98.17470092876897,,,
PH,実現ボラ20日三分位,1_低,93,-2.2411456327068904,-16.208793398464422,11.98718282646422,8.436520582268566,-10.677666214975458,-24.815235665302012,4.3092875928092615,20.151755547629897
PH,実現ボラ20日三分位,2_中,88,-9.761466683647159,-25.228262472614233,6.967544246641008,9.400510130295002,-19.16197681394216,-34.87520743517854,-3.2734965135126584,23.010447359206974
PH,実現ボラ20日三分位,3_高,103,11.713418912746283,-19.159208059684058,44.43490461125383,9.01194342957932,2.7014754831669636,-26.539421302724755,35.47927432978194,45.45091833635978
PH,直前日リターンの符号,1_非正,144,-8.12126029377736,-28.604014084755264,15.220438603704162,8.832170041473088,-16.95343033525045,-38.6782154947543,5.999292785425261,31.32147830390438
PH,直前日リターンの符号,2_正,141,8.782823745987558,-6.734946158760872,24.310243413010138,9.017076766385204,-0.23425302039764165,-16.17834415354004,14.309319837003807,22.18809755652437
PH,制度区分(年代),1990s,110,6.131487327137225,-18.70984816007121,31.906093841903726,6.366673303061374,-0.2351859759241501,-24.866694444099785,25.140071524757094,36.17537771701653
