rule,series,variant,n,sd_net_bps,mde_net_bps,sd_gross_bps,n_non_rule,mde_diff_bps
TOM,先物,除外前(全ペア),1231,157.91925643677135,12.60984944511016,157.9989470137636,5074,14.052112105097986
TOM,先物,除外後(メジャーSQ隣接ペア除外),1231,157.91925643677135,12.60984944511016,157.9989470137636,4768,14.097222137908574
WD-Mon,先物,除外前(全ペア),1184,168.37162103908074,13.708719157075553,168.451554039269,5121,14.993300311297098
WD-Mon,先物,除外後(メジャーSQ隣接ペア除外),1092,165.84936500162112,14.060680219269377,165.94255058871968,4907,15.34457736363133
WD-Tue,先物,除外前(全ペア),1276,158.60199783936915,12.439048290002608,158.7598643688121,5029,13.913190252488878
WD-Tue,先物,除外後(メジャーSQ隣接ペア除外),1266,157.69059744513766,12.416316746484572,157.84948944626362,4733,13.940714665451905
WD-Wed,先物,除外前(全ペア),1280,153.69768637462968,12.035556684015814,153.83619067802314,5025,13.575947314863654
WD-Wed,先物,除外後(メジャーSQ隣接ペア除外),1279,153.75696368888185,12.044904454248883,153.89567972553678,4720,13.633762806110651
WD-Thu,先物,除外前(全ペア),1283,155.1083973345387,12.131816134668956,155.10285512052405,5022,13.646131086909445
WD-Thu,先物,除外後(メジャーSQ隣接ペア除外),1181,154.0992779744994,12.562598860245618,154.1361131501505,4818,14.05462647753182
WD-Fri,先物,除外前(全ペア),1282,151.1839929749782,11.829479507089335,151.2373815859487,5023,13.399952803814074
WD-Fri,先物,除外後(メジャーSQ隣接ペア除外),1181,146.16846600580146,11.916057158633791,146.25130308777193,4818,13.51878982399515
PH,先物,除外前(全ペア),298,152.3729079652858,24.728823866350258,152.2974549250396,6007,25.36566564263622
PH,先物,除外後(メジャーSQ隣接ペア除外),285,145.22594469101975,24.10047585249765,145.18737363893365,5714,24.7794779715456
SQm,先物,除外前(全ペア),308,159.56638343277416,25.472400882505333,159.5866771771965,5997,26.104096114710693
SQm,先物,除外後(メジャーSQ隣接ペア除外),206,134.6465559143288,26.282427578346113,134.8313222944997,5793,26.940214442360006
SQm,1321.T,1321.T(主評価、除外なし),48,134.16438234575125,54.252587279762636,134.35783242407174,930,55.64801076051687
SQq,先物,除外前(全ペア),102,199.44001687579635,55.32431606169227,199.2305460682488,6203,55.54653939028818
SQq,先物,除外後(メジャーSQ隣接ペア除外),0,,,,5999,
SQq,1321.T,1321.T(主評価、除外なし),16,157.32105129161985,110.18708296830364,158.01230023884744,962,111.29918867979688
