方策,位置,判断,件数
logistic_3択,1件目,止まる,690
logistic_3択,1件目,続く,555
logistic_3択,1件目,わからない,755
logistic_3択,連鎖の中,止まる,722
logistic_3択,連鎖の中,続く,344
logistic_3択,連鎖の中,わからない,264
logistic_2値0.5,1件目,止まる,1040
logistic_2値0.5,1件目,続く,960
logistic_2値0.5,1件目,わからない,0
logistic_2値0.5,連鎖の中,止まる,130
logistic_2値0.5,連鎖の中,続く,1200
logistic_2値0.5,連鎖の中,わからない,0
logistic_2値基準率,1件目,止まる,752
logistic_2値基準率,1件目,続く,1248
logistic_2値基準率,1件目,わからない,0
logistic_2値基準率,連鎖の中,止まる,678
logistic_2値基準率,連鎖の中,続く,652
logistic_2値基準率,連鎖の中,わからない,0
規則,1件目,止まる,2000
規則,1件目,続く,0
規則,1件目,わからない,0
規則,連鎖の中,止まる,0
規則,連鎖の中,続く,1330
規則,連鎖の中,わからない,0
