方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
規則,B,2,0.820520,-5.676951,6.787890,0.465000,-0.036947,0.280829,2000,223,1.325000,60.000000,0.000000,1
規則,B,2,0.820520,-5.676951,6.787890,0.465000,-0.036947,0.280829,2000,223,1.325000,60.000000,0.000000,0
完全な判断,A,0.500000,4.422119,0.045978,10.292772,0.239500,5.452929,0.342707,2000,223,1.000000,60.000000,0.000000,1
完全な判断,A,0.500000,4.422119,0.045978,10.292772,0.239500,5.452929,0.342707,2000,223,1.000000,60.000000,0.000000,0
完全な判断,A,1,4.128579,-0.015454,10.327856,0.251000,5.232769,0.332182,2000,223,1.000000,60.000000,0.000000,1
完全な判断,A,1,4.128579,-0.015454,10.327856,0.251000,5.232769,0.332182,2000,223,1.000000,60.000000,0.000000,0
完全な判断,A,2,3.883736,-0.581602,9.718157,0.276000,4.790845,0.305118,2000,223,1.000000,60.000000,0.000000,1
完全な判断,A,2,3.883736,-0.581602,9.718157,0.276000,4.790845,0.305118,2000,223,1.000000,60.000000,0.000000,0
完全な判断,B,0.500000,5.446633,0.000000,13.873195,0.247000,7.883834,0.504856,2000,223,1.325000,60.000000,0.000000,1
完全な判断,B,0.500000,5.446633,0.000000,13.873195,0.247000,7.883834,0.504856,2000,223,1.325000,60.000000,0.000000,0
完全な判断,B,1,5.251769,-0.138029,13.285621,0.255000,7.557107,0.492636,2000,223,1.325000,60.000000,0.000000,1
完全な判断,B,1,5.251769,-0.138029,13.285621,0.255000,7.557107,0.492636,2000,223,1.325000,60.000000,0.000000,0
完全な判断,B,2,4.792454,-0.696273,12.898914,0.273500,6.880709,0.443899,2000,223,1.325000,60.000000,0.000000,1
完全な判断,B,2,4.792454,-0.696273,12.898914,0.273500,6.880709,0.443899,2000,223,1.325000,60.000000,0.000000,0
全部逆張り,A,0.500000,2.106583,-3.048772,8.026391,0.390500,2.151097,0.246331,2000,223,1.000000,60.000000,0.000000,1
全部逆張り,A,0.500000,2.106583,-3.048772,8.026391,0.390500,2.151097,0.246331,2000,223,1.000000,60.000000,0.000000,0
全部逆張り,A,1,2.249481,-3.206866,8.206775,0.391500,2.139682,0.256661,2000,223,1.000000,60.000000,0.000000,1
全部逆張り,A,1,2.249481,-3.206866,8.206775,0.391500,2.139682,0.256661,2000,223,1.000000,60.000000,0.000000,0
全部逆張り,A,2,2.153449,-3.491187,8.133552,0.397500,2.047308,0.254224,2000,223,1.000000,60.000000,0.000000,1
全部逆張り,A,2,2.153449,-3.491187,8.133552,0.397500,2.047308,0.254224,2000,223,1.000000,60.000000,0.000000,0
全部逆張り,B,0.500000,2.106583,-3.048772,8.026391,0.390500,2.151097,0.246331,2000,223,1.000000,60.000000,0.000000,1
全部逆張り,B,0.500000,2.106583,-3.048772,8.026391,0.390500,2.151097,0.246331,2000,223,1.000000,60.000000,0.000000,0
全部逆張り,B,1,2.249481,-3.206866,8.206775,0.391500,2.139682,0.256661,2000,223,1.000000,60.000000,0.000000,1
全部逆張り,B,1,2.249481,-3.206866,8.206775,0.391500,2.139682,0.256661,2000,223,1.000000,60.000000,0.000000,0
全部逆張り,B,2,2.153449,-3.491187,8.133552,0.397500,2.047308,0.254224,2000,223,1.000000,60.000000,0.000000,1
全部逆張り,B,2,2.153449,-3.491187,8.133552,0.397500,2.047308,0.254224,2000,223,1.000000,60.000000,0.000000,0
全部順張り,A,0.500000,-2.106583,-8.026391,3.048772,0.605500,-2.151097,0.246331,2000,223,1.000000,60.000000,0.000000,1
全部順張り,A,0.500000,-2.106583,-8.026391,3.048772,0.605500,-2.151097,0.246331,2000,223,1.000000,60.000000,0.000000,0
全部順張り,A,1,-2.249481,-8.206775,3.206866,0.604500,-2.139682,0.256661,2000,223,1.000000,60.000000,0.000000,1
全部順張り,A,1,-2.249481,-8.206775,3.206866,0.604500,-2.139682,0.256661,2000,223,1.000000,60.000000,0.000000,0
全部順張り,A,2,-2.153449,-8.133552,3.491187,0.600000,-2.047308,0.254224,2000,223,1.000000,60.000000,0.000000,1
全部順張り,A,2,-2.153449,-8.133552,3.491187,0.600000,-2.047308,0.254224,2000,223,1.000000,60.000000,0.000000,0
全部順張り,B,0.500000,-2.106583,-8.026391,3.048772,0.605500,-2.151097,0.246331,2000,223,1.000000,60.000000,0.000000,1
全部順張り,B,0.500000,-2.106583,-8.026391,3.048772,0.605500,-2.151097,0.246331,2000,223,1.000000,60.000000,0.000000,0
全部順張り,B,1,-2.249481,-8.206775,3.206866,0.604500,-2.139682,0.256661,2000,223,1.000000,60.000000,0.000000,1
全部順張り,B,1,-2.249481,-8.206775,3.206866,0.604500,-2.139682,0.256661,2000,223,1.000000,60.000000,0.000000,0
全部順張り,B,2,-2.153449,-8.133552,3.491187,0.600000,-2.047308,0.254224,2000,223,1.000000,60.000000,0.000000,1
全部順張り,B,2,-2.153449,-8.133552,3.491187,0.600000,-2.047308,0.254224,2000,223,1.000000,60.000000,0.000000,0
