cascade_id,day,start_ms,end_ms,bundle_width_ms,direction,n_events,tie_after_shift,path_after_shift,tie_before,path_before,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,bp_1m_diff,bp_5m_diff,bp_15m_diff,bp_30m_diff,bp_60m_diff,bp_240m_diff,bp_1m_after_shift,bp_5m_after_shift,bp_15m_after_shift,bp_30m_after_shift,bp_60m_after_shift,bp_240m_after_shift,bp_1m_before,bp_5m_before,bp_15m_before,bp_30m_before,bp_60m_before,bp_240m_before,pred_under_1m,pred_under_5m,pred_under_15m,pred_under_30m,pred_under_60m,pred_under_240m,resid_1m,resid_5m,resid_15m,resid_30m,resid_60m,resid_240m
binance_cm_real_000000,2023-06-25,1687656471926,1687656473356,1430,short,2,True,price_tick,True,price_tick,1687656473356,30631.6,1687656473356,30631.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16323012836417294,-5.81099256976432,-3.3625406443017254,-3.852231029394244,3.5584167983394455,78.38310764047657,-0.16323012836417294,-5.81099256976432,-3.3625406443017254,-3.852231029394244,3.5584167983394455,78.38310764047657,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000001,2023-06-25,1687659729506,1687659729506,0,short,1,True,time_resolution,True,time_resolution,1687659729506,30664.4,1687659729506,30664.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.945943830631671,-8.772387524295748,4.891665905740859,-2.5110551649472113,6.196110147271755,66.4614341059989,-3.945943830631671,-8.772387524295748,4.891665905740859,-2.5110551649472113,6.196110147271755,66.4614341059989,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000002,2023-06-25,1687660479390,1687660479390,0,short,1,True,time_resolution,True,time_resolution,1687660479390,30672.9,1687660479390,30672.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2276048238014066,-1.075868274601655,-7.270261370787538,-8.411333783242833,17.37690273824753,82.67884679961743,3.2276048238014066,-1.075868274601655,-7.270261370787538,-8.411333783242833,17.37690273824753,82.67884679961743,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000003,2023-06-25,1687662893225,1687662893225,0,short,1,True,time_resolution,True,time_resolution,1687662893225,30704.8,1687662893225,30704.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6802063521010635,-11.105755451915838,6.67648055027227,6.67648055027227,57.645710116984965,40.02631510382788,-3.6802063521010635,-11.105755451915838,6.67648055027227,6.67648055027227,57.645710116984965,40.02631510382788,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000004,2023-06-25,1687663686420,1687663697070,10650,short,2,False,,False,,1687663697070,30728.6,1687663697070,30728.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.473265947683443,2.017664325742379,-0.35797270295377753,8.070657302969517,47.25239678996138,4.881445949376151,-2.473265947683443,2.017664325742379,-0.35797270295377753,8.070657302969517,47.25239678996138,4.881445949376151,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000005,2023-06-25,1687665095016,1687665128467,33451,short,2,False,,False,,1687665128467,30770.0,1687665128467,30770.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032499187519839066,-0.1299967500817209,32.43418914527113,56.808579785505124,41.46896327591762,-21.839454013649895,-0.032499187519839066,-0.1299967500817209,32.43418914527113,56.808579785505124,41.46896327591762,-21.839454013649895,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000006,2023-06-25,1687665746391,1687665853193,106802,short,5,False,,False,,1687665853193,30886.6,1687665853193,30886.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.43257593907967,-13.209611935272667,23.764350883555153,22.82543238815538,17.612815913697673,-52.12616474458179,-12.43257593907967,-13.209611935272667,23.764350883555153,22.82543238815538,17.612815913697673,-52.12616474458179,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000007,2023-06-25,1687666294629,1687666294629,0,short,1,True,time_resolution,True,time_resolution,1687666294629,30894.7,1687666294629,30894.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6797282381774812,4.9846737466289746,3.722321304301385,44.60311962893288,0.42078414744252973,-47.839920763108,-0.6797282381774812,4.9846737466289746,3.722321304301385,44.60311962893288,0.42078414744252973,-47.839920763108,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000008,2023-06-25,1687666606879,1687666606879,0,short,1,True,time_resolution,True,time_resolution,1687666606879,30933.0,1687666606879,30933.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2931173827304172,4.55823877412425,8.469918856884469,1.034493906184569,-13.513076649532625,-62.74852099699304,-1.2931173827304172,4.55823877412425,8.469918856884469,1.034493906184569,-13.513076649532625,-62.74852099699304,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000009,2023-06-25,1687666716470,1687666716470,0,short,1,True,time_resolution,True,time_resolution,1687666716470,30940.4,1687666716470,30940.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.300513244818366,-4.395547568875057,2.1008131763002416,-5.138912231257985,-22.430220682344586,-72.17101265659231,5.300513244818366,-4.395547568875057,2.1008131763002416,-5.138912231257985,-22.430220682344586,-72.17101265659231,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
