属性,群,下限,上限,m の群,T(秒),h(秒),群の束数,属性が欠測で群に入らない束の割合,n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,次の束が 120 秒以内の割合,次の束が 120 秒以内の母数,次の束の間隔が無い束,r_end > 0 の割合,r_end > 0 の母数
bundle_n_events_dedup,Q3(上位 3 分位),2.000000,,Q3(上位 3 分位),60,60,2349,0.000000,2349,385,-16.451029,0.525941,0.360998,1.456909,-14.935006,0.226862,2323,26,0.122180,2349
bundle_n_events_dedup,Q3(上位 3 分位),2.000000,,Q3(上位 3 分位),60,300,2349,0.000000,2349,385,-18.094486,0.822506,0.793338,1.036766,-18.705691,0.226862,2323,26,0.279693,2349
bundle_n_events_dedup,Q3(上位 3 分位),2.000000,,Q3(上位 3 分位),60,900,2349,0.000000,2349,385,-18.709946,1.506298,1.316974,1.143757,-21.620318,0.226862,2323,26,0.316731,2349
bundle_total_notional,Q1(下位 3 分位),,775945.066667,Q1(下位 3 分位),60,60,2882,0.000000,2882,445,-2.452774,0.132221,0.120693,1.095518,-2.380629,0.145422,2785,97,0.342124,2882
bundle_total_notional,Q1(下位 3 分位),,775945.066667,Q1(下位 3 分位),60,300,2882,0.000000,2882,445,-2.721710,0.302065,0.290741,1.038948,-2.832933,0.145422,2785,97,0.384802,2882
bundle_total_notional,Q1(下位 3 分位),,775945.066667,Q1(下位 3 分位),60,900,2882,0.000000,2882,445,-2.826462,0.581960,0.498549,1.167307,-3.504518,0.145422,2785,97,0.410479,2882
bundle_total_notional,Q1(下位 3 分位),,775945.066667,Q2(中位 3 分位),60,60,2356,0.000000,2356,426,-4.049826,0.179135,0.172938,1.035835,-4.121363,0.168831,2310,46,0.300934,2356
bundle_total_notional,Q1(下位 3 分位),,775945.066667,Q2(中位 3 分位),60,300,2356,0.000000,2356,426,-3.701394,0.451724,0.416072,1.085687,-4.242120,0.168831,2310,46,0.381579,2356
bundle_total_notional,Q1(下位 3 分位),,775945.066667,Q2(中位 3 分位),60,900,2356,0.000000,2356,426,-3.965575,0.769912,0.708861,1.086125,-4.889838,0.168831,2310,46,0.400679,2356
bundle_total_notional,Q1(下位 3 分位),,775945.066667,Q3(上位 3 分位),60,60,1828,0.000000,1828,370,-6.891710,0.341706,0.273679,1.248566,-6.688879,0.182682,1790,38,0.258753,1828
