gap(秒),T(秒),h(秒),m の帯,帯の下限(bp),帯の上限(bp),帯の束数,m 平均(bp),掃き 平均(bp),n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,g 中央値(分母>0),g > 1 の割合(分母>0),0 ≤ g ≤ 1 の割合(分母>0),g < 0 の割合(分母>0),g の母数(分母>0),g 中央値(分母≥1bp),g > 1 の割合(分母≥1bp),0 ≤ g ≤ 1 の割合(分母≥1bp),g < 0 の割合(分母≥1bp),g の母数(分母≥1bp),r_end > 0 の割合,r_end > 0 の母数,前の束から T+60 秒以上 n,前の束から T+60 秒以上 r_end 平均(bp),前の束から T+60 秒以上 日クラスタ SE
60,60,900,4,7.950392,9.797829,2119,8.887448,5.004837,2119,427,-5.741697,0.730792,0.782689,0.933693,-6.945040,0.557621,0.413874,0.204342,0.381784,2119,0.557621,0.413874,0.204342,0.381784,2119,0.381784,2119,1711,-5.010465,0.840180
60,60,900,5,9.797829,11.795659,2120,10.794223,5.379742,2120,422,-5.596085,0.748117,0.767495,0.974752,-6.022011,0.484204,0.386792,0.227830,0.385377,2120,0.484204,0.386792,0.227830,0.385377,2120,0.385377,2120,1700,-5.107338,0.796314
60,60,900,6,11.795659,14.144254,2120,12.953178,6.129866,2120,406,-7.284650,0.889720,0.860039,1.034512,-8.102618,0.478962,0.373585,0.243396,0.383019,2120,0.478962,0.373585,0.243396,0.383019,2120,0.383019,2120,1767,-6.726641,0.859514
60,60,900,7,14.144254,17.099811,2119,15.556110,7.310836,2119,409,-7.697820,1.071796,0.908256,1.180060,-8.981930,0.491489,0.350165,0.282209,0.367626,2119,0.491489,0.350165,0.282209,0.367626,2119,0.367626,2119,1756,-7.261709,1.049896
60,60,900,8,17.099811,21.144332,2120,18.980473,8.582200,2120,397,-8.084729,1.054961,1.012629,1.041804,-10.068779,0.423999,0.326415,0.307547,0.366038,2120,0.423999,0.326415,0.307547,0.366038,2120,0.366038,2120,1762,-8.127514,1.002564
60,60,900,9,21.144332,28.123939,2120,24.186068,9.607448,2120,375,-10.879447,0.992698,1.063595,0.933341,-12.023713,0.416261,0.295283,0.346698,0.358019,2120,0.416261,0.295283,0.346698,0.358019,2120,0.358019,2120,1789,-9.895767,1.071352
60,60,900,10,28.123939,+∞,2120,39.008970,12.976291,2120,339,-13.761263,1.517304,1.557198,0.974381,-15.203487,0.327168,0.250000,0.365094,0.384906,2120,0.327168,0.250000,0.365094,0.384906,2120,0.384906,2120,1708,-12.729435,1.642770
60,300,60,1,−∞,8.870567,2120,0.953631,3.235781,2120,437,-3.638052,0.321233,0.214520,1.497449,-3.162090,0.179109,0.160963,0.488235,0.350802,1870,0.178056,0.154891,0.493478,0.351630,1840,0.346698,2120,1329,-2.176924,0.216288
60,300,60,2,8.870567,12.931363,2120,10.971016,3.209406,2120,440,-3.434688,0.179300,0.167678,1.069314,-3.181988,0.177276,0.073585,0.612264,0.314151,2120,0.177276,0.073585,0.612264,0.314151,2120,0.314151,2120,1486,-2.762370,0.193207
60,300,60,3,12.931363,16.633602,2120,14.796579,4.233282,2120,435,-4.172409,0.187970,0.174669,1.076151,-4.355238,0.165119,0.046698,0.662736,0.290566,2120,0.165119,0.046698,0.662736,0.290566,2120,0.290566,2120,1421,-3.498035,0.210647
60,300,60,4,16.633602,20.188306,2119,18.393097,4.857060,2119,427,-4.959614,0.205183,0.200396,1.023888,-5.214861,0.172414,0.030675,0.694667,0.274658,2119,0.172414,0.030675,0.694667,0.274658,2119,0.274658,2119,1399,-4.298084,0.228332
60,300,60,5,20.188306,23.962074,2120,22.038951,5.469336,2120,415,-5.565396,0.209448,0.205126,1.021074,-5.536041,0.165765,0.021698,0.708962,0.269340,2120,0.165765,0.021698,0.708962,0.269340,2120,0.269340,2120,1325,-4.899047,0.235297
60,300,60,6,23.962074,27.958634,2120,25.925954,7.340763,2120,406,-6.786244,0.255448,0.251175,1.017011,-6.711806,0.181210,0.012264,0.747642,0.240094,2120,0.181210,0.012264,0.747642,0.240094,2120,0.240094,2120,1251,-5.903414,0.338825
60,300,60,7,27.958634,33.085865,2119,30.455421,7.069797,2119,395,-7.255883,0.279413,0.244437,1.143088,-7.375150,0.164527,0.012742,0.747050,0.240208,2119,0.164527,0.012742,0.747050,0.240208,2119,0.240208,2119,1179,-6.275511,0.336141
60,300,60,8,33.085865,39.591484,2120,36.138209,8.118487,2120,383,-7.948647,0.277122,0.263776,1.050595,-7.941395,0.155269,0.004717,0.761321,0.233962,2120,0.155269,0.004717,0.761321,0.233962,2120,0.233962,2120,1102,-6.701117,0.337562
60,300,60,9,39.591484,50.909753,2120,44.616841,9.128110,2120,364,-9.337994,0.326450,0.293944,1.110586,-9.238256,0.147738,0.003774,0.791509,0.204717,2120,0.147738,0.003774,0.791509,0.204717,2120,0.204717,2120,980,-8.852107,0.476345
60,300,60,10,50.909753,+∞,2120,71.603916,14.046147,2120,313,-14.904079,0.475505,0.392856,1.210380,-14.051479,0.164690,0.001415,0.824057,0.174528,2120,0.164690,0.001415,0.824057,0.174528,2120,0.174528,2120,489,-11.865522,0.768237
60,300,300,1,−∞,8.870567,2120,0.953631,3.235781,2120,437,-3.358823,0.511364,0.510558,1.001580,-3.423044,0.360287,0.327273,0.286096,0.386631,1870,0.354144,0.321196,0.290217,0.388587,1840,0.392925,2120,1329,-1.892062,0.502587
60,300,300,2,8.870567,12.931363,2120,10.971016,3.209406,2120,440,-3.641901,0.452413,0.457700,0.988450,-3.670475,0.273162,0.215566,0.408019,0.376415,2120,0.273162,0.215566,0.408019,0.376415,2120,0.376415,2120,1486,-3.022478,0.547397
60,300,300,3,12.931363,16.633602,2120,14.796579,4.233282,2120,435,-4.471962,0.421220,0.418330,1.006908,-5.152989,0.252004,0.166981,0.473113,0.359906,2120,0.252004,0.166981,0.473113,0.359906,2120,0.359906,2120,1421,-3.772978,0.503877
60,300,300,4,16.633602,20.188306,2119,18.393097,4.857060,2119,427,-4.890238,0.414766,0.432671,0.958616,-5.473148,0.253615,0.130250,0.499764,0.369986,2119,0.253615,0.130250,0.499764,0.369986,2119,0.369986,2119,1399,-4.084356,0.492581
60,300,300,5,20.188306,23.962074,2120,22.038951,5.469336,2120,415,-6.125466,0.460896,0.448623,1.027357,-6.689351,0.240008,0.108962,0.535849,0.355189,2120,0.240008,0.108962,0.535849,0.355189,2120,0.355189,2120,1325,-5.432374,0.482397
60,300,300,6,23.962074,27.958634,2120,25.925954,7.340763,2120,406,-7.023236,0.549758,0.545735,1.007371,-7.272397,0.235146,0.098113,0.565566,0.336321,2120,0.235146,0.098113,0.565566,0.336321,2120,0.336321,2120,1251,-5.705795,0.673495
60,300,300,7,27.958634,33.085865,2119,30.455421,7.069797,2119,395,-7.498032,0.538687,0.528751,1.018791,-7.588473,0.217722,0.084002,0.573856,0.342143,2119,0.217722,0.084002,0.573856,0.342143,2119,0.342143,2119,1179,-6.893990,0.659747
60,300,300,8,33.085865,39.591484,2120,36.138209,8.118487,2120,383,-7.614824,0.589698,0.594352,0.992170,-8.399322,0.185742,0.064151,0.583491,0.352358,2120,0.185742,0.064151,0.583491,0.352358,2120,0.352358,2120,1102,-5.866218,0.738567
60,300,300,9,39.591484,50.909753,2120,44.616841,9.128110,2120,364,-10.528793,0.653087,0.664805,0.982375,-11.253095,0.193727,0.055189,0.612736,0.332075,2120,0.193727,0.055189,0.612736,0.332075,2120,0.332075,2120,980,-9.474841,1.000726
60,300,300,10,50.909753,+∞,2120,71.603916,14.046147,2120,313,-15.551906,0.908947,0.976872,0.930467,-16.627805,0.188218,0.028774,0.659906,0.311321,2120,0.188218,0.028774,0.659906,0.311321,2120,0.311321,2120,489,-11.945978,1.260173
60,300,900,1,−∞,8.870567,2120,0.953631,3.235781,2120,437,-4.381890,0.792186,0.793307,0.998587,-4.444750,0.567084,0.414439,0.192513,0.393048,1870,0.551472,0.410326,0.195109,0.394565,1840,0.400000,2120,1329,-2.240246,0.856914
60,300,900,2,8.870567,12.931363,2120,10.971016,3.209406,2120,440,-4.199997,0.741786,0.664155,1.116887,-4.499807,0.405934,0.335377,0.268396,0.396226,2120,0.405934,0.335377,0.268396,0.396226,2120,0.396226,2120,1486,-3.402258,0.719717
60,300,900,3,12.931363,16.633602,2120,14.796579,4.233282,2120,435,-4.488436,0.732377,0.693153,1.056588,-5.209015,0.365256,0.298113,0.318868,0.383019,2120,0.365256,0.298113,0.318868,0.383019,2120,0.383019,2120,1421,-3.812994,0.846544
60,300,900,4,16.633602,20.188306,2119,18.393097,4.857060,2119,427,-4.969024,0.776386,0.750353,1.034694,-6.355041,0.348780,0.262860,0.351109,0.386031,2119,0.348780,0.262860,0.351109,0.386031,2119,0.386031,2119,1399,-4.272442,0.902281
60,300,900,5,20.188306,23.962074,2120,22.038951,5.469336,2120,415,-7.559803,0.737927,0.746788,0.988134,-8.371160,0.332344,0.233491,0.395283,0.371226,2120,0.332344,0.233491,0.395283,0.371226,2120,0.371226,2120,1325,-6.087478,0.788890
60,300,900,6,23.962074,27.958634,2120,25.925954,7.340763,2120,406,-7.568228,0.897159,0.852345,1.052577,-9.137731,0.295704,0.213208,0.420283,0.366509,2120,0.295704,0.213208,0.420283,0.366509,2120,0.366509,2120,1251,-6.587899,1.070269
60,300,900,7,27.958634,33.085865,2119,30.455421,7.069797,2119,395,-8.199914,1.021932,0.920548,1.110135,-9.311489,0.275210,0.191128,0.443605,0.365267,2119,0.275210,0.191128,0.443605,0.365267,2119,0.365267,2119,1179,-8.107362,1.238588
60,300,900,8,33.085865,39.591484,2120,36.138209,8.118487,2120,383,-7.461054,0.983061,0.980382,1.002733,-9.971186,0.240968,0.158962,0.453302,0.387736,2120,0.240968,0.158962,0.453302,0.387736,2120,0.387736,2120,1102,-5.957513,1.275735
60,300,900,9,39.591484,50.909753,2120,44.616841,9.128110,2120,364,-11.301076,0.987446,1.060462,0.931146,-12.152890,0.237850,0.143396,0.493396,0.363208,2120,0.237850,0.143396,0.493396,0.363208,2120,0.363208,2120,980,-11.543650,1.390804
60,300,900,10,50.909753,+∞,2120,71.603916,14.046147,2120,313,-14.175312,1.655345,1.513611,1.093640,-17.608720,0.222296,0.112736,0.518396,0.368868,2120,0.222296,0.112736,0.518396,0.368868,2120,0.368868,2120,489,-12.172998,2.554566
30,60,60,1,−∞,4.193567,2535,1.880557,2.634188,2535,447,-2.115303,0.199705,0.206772,0.965826,-2.112257,0.190904,0.276534,0.302653,0.420813,2412,0.205330,0.269368,0.316563,0.414069,2246,0.418146,2535,1745,-1.236170,0.183394
30,60,60,2,4.193567,6.446114,2534,5.358165,2.905405,2534,438,-2.694202,0.233166,0.202882,1.149272,-2.383749,0.248954,0.236780,0.390292,0.372928,2534,0.248954,0.236780,0.390292,0.372928,2534,0.372928,2534,1800,-1.912888,0.212658
30,60,60,3,6.446114,8.362151,2534,7.405715,2.482547,2534,434,-2.853580,0.189017,0.190864,0.990320,-2.900351,0.264565,0.176401,0.465272,0.358327,2534,0.264565,0.176401,0.465272,0.358327,2534,0.358327,2534,1786,-2.289296,0.201732
30,60,60,4,8.362151,10.326279,2534,9.345753,3.331654,2534,434,-3.396539,0.233502,0.216556,1.078252,-3.260237,0.222534,0.146014,0.494870,0.359116,2534,0.222534,0.146014,0.494870,0.359116,2534,0.359116,2534,1787,-2.768968,0.241449
30,60,60,5,10.326279,12.442748,2534,11.384168,3.508589,2534,421,-3.747249,0.214778,0.222436,0.965574,-3.692179,0.222832,0.119574,0.533544,0.346882,2534,0.222832,0.119574,0.533544,0.346882,2534,0.346882,2534,1778,-3.119016,0.252892
30,60,60,6,12.442748,14.958915,2535,13.656632,4.214391,2535,415,-4.040818,0.231651,0.239262,0.968188,-4.026667,0.210019,0.097041,0.560947,0.342012,2535,0.210019,0.097041,0.560947,0.342012,2535,0.342012,2535,1766,-3.394425,0.266753
30,60,60,7,14.958915,18.007131,2534,16.418870,4.686075,2534,415,-4.532395,0.276755,0.255836,1.081767,-4.738689,0.199738,0.075375,0.590371,0.334254,2534,0.199738,0.075375,0.590371,0.334254,2534,0.334254,2534,1708,-3.973779,0.268640
30,60,60,8,18.007131,22.294735,2534,20.020550,5.740361,2534,405,-5.804290,0.304424,0.286984,1.060771,-6.327830,0.220619,0.068272,0.622336,0.309392,2534,0.220619,0.068272,0.622336,0.309392,2534,0.309392,2534,1695,-4.794931,0.354208
30,60,60,9,22.294735,29.928287,2534,25.599765,6.585321,2534,384,-7.099162,0.335954,0.322894,1.040446,-7.116151,0.215280,0.045383,0.656669,0.297948,2534,0.215280,0.045383,0.656669,0.297948,2534,0.297948,2534,1659,-5.845964,0.366590
30,60,60,10,29.928287,+∞,2535,42.521111,11.253709,2535,330,-11.331979,0.554793,0.517164,1.072760,-11.291763,0.212134,0.035503,0.668245,0.296252,2535,0.212134,0.035503,0.668245,0.296252,2535,0.296252,2535,1480,-9.739655,0.673051
180,60,60,1,−∞,4.009190,1515,2.312696,6.420263,1515,430,-3.435337,0.198712,0.197362,1.006840,-3.556369,0.336395,0.265572,0.425736,0.308693,1461,0.342445,0.261281,0.442504,0.296215,1374,0.309571,1515,1441,-3.506676,0.203815
180,60,60,2,4.009190,6.112293,1514,5.097278,6.430088,1514,422,-4.453511,0.218418,0.205898,1.060807,-4.225603,0.319557,0.214663,0.505945,0.279392,1514,0.319557,0.214663,0.505945,0.279392,1514,0.279392,1514,1456,-4.518668,0.223471
180,60,60,3,6.112293,7.875284,1514,7.010964,7.622066,1514,417,-5.277227,0.207531,0.210444,0.986159,-5.371108,0.352820,0.147292,0.624835,0.227873,1514,0.352820,0.147292,0.624835,0.227873,1514,0.227873,1514,1454,-5.316775,0.213902
180,60,60,4,7.875284,9.668713,1514,8.798988,9.521286,1514,412,-6.181621,0.270287,0.269808,1.001772,-6.153831,0.317195,0.126816,0.639366,0.233818,1514,0.317195,0.126816,0.639366,0.233818,1514,0.233818,1514,1465,-6.255354,0.275046
180,60,60,5,9.668713,11.627441,1514,10.645265,8.784364,1514,409,-6.288236,0.242901,0.239508,1.014167,-6.029664,0.289244,0.112946,0.665786,0.221268,1514,0.289244,0.112946,0.665786,0.221268,1514,0.221268,1514,1456,-6.372202,0.245913
180,60,60,6,11.627441,13.830006,1515,12.706037,11.249299,1515,397,-7.770210,0.283287,0.272651,1.039009,-7.536308,0.296610,0.087129,0.714191,0.198680,1515,0.296610,0.087129,0.714191,0.198680,1515,0.198680,1515,1472,-7.850634,0.292113
180,60,60,7,13.830006,16.604658,1514,15.152683,11.615948,1514,399,-8.124664,0.308515,0.282100,1.093638,-7.660007,0.281390,0.070013,0.736460,0.193527,1514,0.281390,0.070013,0.736460,0.193527,1514,0.193527,1514,1481,-8.150426,0.309243
180,60,60,8,16.604658,20.395059,1514,18.402423,13.455295,1514,383,-9.109810,0.296206,0.278198,1.064729,-8.716042,0.280570,0.048217,0.774769,0.177015,1514,0.280570,0.048217,0.774769,0.177015,1514,0.177015,1514,1487,-9.133122,0.298411
180,60,60,9,20.395059,26.557807,1514,23.178021,14.100871,1514,367,-10.525093,0.331454,0.306932,1.079896,-10.103086,0.266936,0.031044,0.818362,0.150594,1514,0.266936,0.031044,0.818362,0.150594,1514,0.150594,1514,1487,-10.586353,0.336862
180,60,60,10,26.557807,+∞,1515,35.697998,18.598283,1515,334,-13.949311,0.488229,0.397569,1.228035,-13.783963,0.239863,0.017162,0.825083,0.157756,1515,0.239863,0.017162,0.825083,0.157756,1515,0.157756,1515,1488,-14.030794,0.489508
