方策,日数,負の日の割合,日の合計の中央値_bp,下位5日の合計_bp,上位5日の合計_bp,上位5日,下位5日
①3択A,2,1.000000,-2.256121,-4.512241,-4.512241,"2024-03-01:-3, 2024-03-02:-1","2024-03-01:-3, 2024-03-02:-1"
①3択B,2,1.000000,-3.408127,-6.816254,-6.816254,"2024-03-01:-5, 2024-03-02:-1","2024-03-01:-5, 2024-03-02:-1"
全部逆張り(素),2,1.000000,-1.703971,-3.407943,-3.407943,"2024-03-02:-3, 2024-03-01:-1","2024-03-02:-3, 2024-03-01:-1"
前段の3択(清算)A,2,1.000000,-2.256121,-4.512241,-4.512241,"2024-03-01:-3, 2024-03-02:-1","2024-03-01:-3, 2024-03-02:-1"
完全な判断(値段)A,2,1.000000,-2.556117,-5.112235,-5.112235,"2024-03-01:-4, 2024-03-02:-1","2024-03-01:-4, 2024-03-02:-1"
②opt,1,0.000000,0.995762,0.995762,0.995762,2024-03-01:1,2024-03-01:1
