config,label,year,grid_minutes,empty_minutes,big_gaps,entry_signal_bars,signals_discarded,trades,excluded_gap,deferred_entry_minutes,deferred_exit_minutes,trades_with_deferral,stops
best,15/0.4/0.5,2017,197280,2108,146,73259,929,8629,60,6,247,35,2269
best,15/0.4/0.5,2018,525600,4293,312,112803,1326,12601,92,11,263,52,3292
best,15/0.4/0.5,2019,525600,5708,374,61785,736,8101,50,2,468,38,1442
best,15/0.4/0.5,2020,527040,7073,389,66991,1106,8625,74,5,1363,42,1540
best,15/0.4/0.5,2021,525600,6970,395,129590,1777,14847,117,5,670,79,3116
best,15/0.4/0.5,2022,525600,4716,375,71134,1171,8544,100,0,444,55,1388
best,15/0.4/0.5,2023,505440,47601,1217,27135,508,3683,42,23,342,119,335
current,30/0.8/0.5,2017,197280,2108,146,48160,564,3935,54,1,95,19,1701
current,30/0.8/0.5,2018,525600,4293,312,72364,851,5368,74,7,167,25,2521
current,30/0.8/0.5,2019,525600,5708,374,33908,375,2857,35,3,195,18,1140
current,30/0.8/0.5,2020,527040,7073,389,35725,559,2991,34,1,165,16,1277
current,30/0.8/0.5,2021,525600,6970,395,74092,1084,5885,95,2,532,31,2621
current,30/0.8/0.5,2022,525600,4716,375,39424,728,2995,74,0,309,25,1138
current,30/0.8/0.5,2023,505440,47601,1217,13760,299,1081,29,0,56,22,336
