lag_min,n,corr_all,corr_2017,corr_2018,corr_2019,corr_2020,corr_2021,corr_2022,corr_2023
-10,3192850,0.0023687905006858447,0.004556377550787906,-0.0031718433191891544,0.0033160126863651667,-0.005985211949062212,0.010853225245338702,0.0034584731841552033,0.00805074631591738
-9,3192850,-0.006014084353295763,-0.002425373649280619,-0.012842140528336677,0.007190168853596158,-0.011000738784717051,-0.007569085913890398,-0.007962476436693282,0.005921189095233913
-8,3192850,-0.0006067889519853718,0.005554878086585686,-0.004544888897323334,0.002710307028060131,0.01617905977336797,-0.012811007657318412,-0.0057748982839288115,-0.007419066469558722
-7,3192850,-0.0064839447617961714,0.009440799913443635,-0.009592937092825748,-0.010721656358645026,-0.018329621896135316,-0.00953731640013195,-0.00934012884474689,0.0010560378260718675
-6,3192850,0.0020839112023270756,0.010644268492293522,0.007597840597178053,-0.008367451157606379,0.004619885473099029,-0.0011168310701702344,-0.013196841626646506,-0.004067056763279955
-5,3192850,0.0017802960866714638,0.016458726357605265,0.0016798588129374162,-0.0056998108300803894,-0.008413218420875621,-0.003547853076287068,0.006617170874036351,-0.002027439488086104
-4,3192850,-0.001194027560130947,0.013661874520572536,-7.494801911029554e-05,0.0001971547087174013,-0.011734299489428026,-0.00874063059063304,-0.003819155747719332,-0.010343579079860088
-3,3192850,0.00874008517302092,0.0274148483792666,0.011140274642373273,0.004611360325347739,0.02398240055362022,-0.01557384480664527,-0.0016134983269813724,-0.0008265448000438059
-2,3192850,0.0029338800696547666,0.05887655801188416,0.0032191708436700513,-0.002065247283524779,-0.017584837583634987,-0.027335021111050857,-0.016501232249639657,-0.013213191430765388
-1,3192850,0.05635196752807264,0.12317749381130919,0.08426508818559812,0.03545939024620554,0.008984425434038457,0.02779463024549646,0.015532284760701578,0.018796530482123607
0,3192850,0.6354479654225472,0.13391244201688499,0.5320793589511637,0.8143922006144495,0.8734008866702828,0.9167909644305016,0.9553327588039836,0.7057396421616879
1,3192849,0.0448307636142284,0.019816262431081703,0.06743380891120174,0.04272875316728014,0.02639284850421932,0.05559748949371289,0.03262487184397053,0.10279708178385605
2,3192848,-0.0022724496270470577,-0.0019114991794998968,0.0067979557359994875,0.00513529625861004,-0.0029208518214152847,-0.01596598963585748,-0.013373930903082337,0.012969761225750524
3,3192847,0.0072430605510336666,0.007824716920330195,0.00658816283114113,0.008206723458488706,0.024738268093076537,-0.002017276151630441,0.001561578408131053,0.004691632707874598
4,3192846,0.004329972778814419,0.0006175961379468333,0.01364535411589195,0.007405136843179411,0.0033483174587877456,-0.0009500241252405219,-0.0014710104492142773,0.0031514050481134654
5,3192845,0.002095475290281758,0.003186382631615607,-0.002632551291309242,-0.0029988754370113995,0.010140508794531157,-0.00026088702798701593,0.008671809141857707,0.007724249249703787
6,3192844,-0.0009742772700508055,0.003940287457934983,0.007807810722085535,-0.0007532463851540854,-0.02125612452002297,0.001956326438015714,-0.010629562230859133,-0.001165526309560898
7,3192843,-0.004174356387778779,-0.0005091980774293485,-0.009023185127823302,-0.00851654404307942,0.006313461049466216,-0.006487692206614944,-0.009128759268977637,0.0012545310447707903
8,3192842,-0.00013042647317121887,-0.00219238776179692,-0.0020877613778610034,0.005714660932073735,0.014292278783602567,-0.007673453056735044,-0.004059887624798597,0.00013420970545187196
9,3192841,-0.0041816452456203525,0.0023283746421869536,-0.0005366421270161422,0.0034377981679906324,-0.026269384458487043,-0.005349339421319479,-0.007315003663640589,0.00759648892802298
10,3192840,-0.0001838500143274119,-0.004873899706226457,-0.007040665305105159,-0.00252877352541947,-0.011934802435016401,0.020709230901472427,0.0036845765082529746,0.0038418823561115847
