config,label,control,draws,obs_mean_net_bps,null_mean_mean,null_mean_p95,null_mean_p5,obs_sharpe,null_sharpe_mean,null_sharpe_p95,null_sharpe_p5,n_obs,n_null_mean
best,15/0.4/0.5,対照1a 全時刻無作為,1000,-3.1745428506210254,-3.8641399328823662,-3.5978637022433886,-4.147513867370772,-5.26592221953336,-8.770409301316722,-7.92807232524361,-9.616582469294666,64495,63668.51
best,15/0.4/0.5,対照1b 状態内無作為(同 UTC 時×年),1000,-3.1745428506210254,-3.8719493239511986,-3.5539983244043074,-4.192811573942823,-5.26592221953336,-7.711372139157275,-6.92233638324612,-8.56015213248137,64495,63875.829
best,15/0.4/0.5,対照2 符号シャッフル,1000,-3.1745428506210254,-3.8353857730004037,-3.4355636000194956,-4.236805164186422,-5.26592221953336,-6.074154225784779,-5.4105441988948355,-6.7015045706228475,64495,64495.0
best,15/0.4/0.5,対照3 先行市場の日ブロック置換(帰無の当該構成のみ),1000,-3.1745428506210254,-4.03966285512465,-3.7581173408037825,-4.300503844006301,-5.26592221953336,-8.816432148152474,-7.936142996280639,-9.621007705643917,64495,61550.819
current,30/0.8/0.5,対照1a 全時刻無作為,1000,-4.4371580401451505,-4.390439570357764,-3.825046404510715,-4.9620660497394375,-3.1245609356378274,-4.866618080701441,-4.1504920217851975,-5.593308255953676,24717,24203.924
current,30/0.8/0.5,対照1b 状態内無作為(同 UTC 時×年),1000,-4.4371580401451505,-4.412481743040335,-3.729169336368271,-5.131758627523991,-3.1245609356378274,-4.190745638932586,-3.446617898892609,-4.920578485737722,24717,24366.599
current,30/0.8/0.5,対照2 符号シャッフル,1000,-4.4371580401451505,-4.399406206633052,-3.504872776102391,-5.29634060280819,-3.1245609356378274,-3.1089919592346607,-2.4881033263329226,-3.7091976141288354,24717,24717.0
current,30/0.8/0.5,対照3 先行市場の日ブロック置換(帰無の当該構成のみ),1000,-4.4371580401451505,-4.861188157175681,-4.2834014537909155,-5.44488552474582,-3.1245609356378274,-4.961430805696584,-4.227450347927562,-5.646438714917554,24717,22797.714
