config,label,n,sigma_bps,se_independent,mde_independent,se_cluster,mde_cluster,mde_registered
best,15/0.4/0.5,64495,61.629126396759986,0.24267385435599825,0.6798714833044539,0.24069488484443338,0.6743272315727936,1.54
current,30/0.8/0.5,24717,86.5013829663351,0.5502058100656244,1.5414484646676923,0.5371360554912814,1.504832433441483,1.54
