period,n,mean,ci_lo,ci_hi
2017-W33,214,-7.40371148752116,-12.191545335490577,-3.2113239540617324
2017-W34,629,-2.666906818770353,-5.52071375070256,0.4866503587050052
2017-W35,551,-0.4319589429161007,-4.202396424551259,3.8023643217581484
2017-W36,503,-2.4344865132622306,-7.131021859714963,2.407987612166473
2017-W37,644,0.959016627355664,-6.262380770989714,8.669231721544623
2017-W38,599,-2.571895736391931,-5.842307608714058,1.0048355535174234
2017-W39,603,-4.411832391956944,-6.0150209338339895,-2.8610775831753257
2017-W40,441,-4.193728313789573,-6.043132564483136,-2.4356957171426408
2017-W41,422,-2.759085715864551,-6.347458948502157,1.1656558294545158
2017-W42,416,-0.23708981775679852,-3.300314431292558,3.5709558567318007
2017-W43,434,-5.612673631215288,-9.116484987972,-2.0103527275381157
2017-W44,380,-1.7191311585833322,-6.336795350987671,4.15741201415912
2017-W45,486,-1.8851062725152232,-9.482334551318116,9.27930192026923
2017-W46,457,-6.085846952157452,-9.893357030898223,-2.20754261021291
2017-W47,312,-2.159009431397542,-4.73001563501403,0.7288476397652329
2017-W48,501,-9.855317321912032,-15.702958183452203,-3.661538594662556
2017-W49,16,-10.730236923711656,,
2017-W51,467,6.007581642832569,-3.7139969734940883,15.70622634308824
2017-W52,493,-4.659346922862341,-10.548034955731277,1.5299203884038552
2018-W01,384,-2.832637074868531,-6.424515246894023,0.6578314077516674
2018-W02,418,0.11871762323300122,-4.5417677058096615,4.485148350126982
2018-W03,503,0.27260015014713596,-9.209943377048166,10.012834007453327
2018-W04,416,5.871404689711515,-0.8891532839235512,13.155358117750996
2018-W05,509,-2.3458213232819696,-9.195955930027534,4.496196082548457
2018-W06,429,-2.664457914639628,-12.72669749699423,9.188697897871398
2018-W07,419,-3.2084823035478878,-7.782998663900282,1.4853532294089131
2018-W08,480,2.6238380775789287,-2.904238216852904,8.240693477249483
2018-W09,342,-3.7119357624212586,-8.146527562746163,0.6168789404169147
2018-W10,410,-0.9216225149250856,-8.011986974412627,6.088375209169973
2018-W11,467,-2.210134226706947,-9.234556734707615,4.798408009363384
2018-W12,402,-3.657398735611717,-6.841852429848818,-0.7053845313694985
2018-W13,439,-1.6822673141127857,-8.620511767576822,5.542796343814827
2018-W14,300,-1.474016102034785,-6.552531995186322,3.275186198627781
2018-W15,245,4.538208619858779,-5.535939424506647,17.18237482880655
2018-W16,182,0.35414144364690925,-6.802896184243873,7.683052963990541
2018-W17,277,-3.706812362358845,-9.058717872661852,1.8893275090490556
2018-W18,212,-1.7219035045089182,-6.693251620970203,3.7172845631476426
2018-W19,287,-3.9961403386791314,-8.382946898143985,0.19045627425472852
2018-W20,238,-3.5972837399308597,-9.015849929363108,1.4395723199923145
2018-W21,217,0.85703360723926,-4.636994960623335,6.360718806567278
2018-W22,121,-0.2714607538703429,-5.6219696670608235,5.079396352642156
2018-W23,104,0.520014760991422,-9.905806142038104,13.685551838760706
2018-W24,196,-5.021974177836145,-12.16925882269184,2.6233812037067397
2018-W25,166,-0.36953242768469685,-5.842654720895821,4.998880275465461
2018-W26,137,-1.4416920837109424,-10.414619440457516,10.40590916663238
2018-W27,97,-2.6188383854775856,-12.600255203062511,8.176877389640609
2018-W28,69,-2.540672839915994,-11.657303016844713,7.926195770494759
2018-W29,147,0.002280441803367974,-10.545219841750614,16.37091576044919
2018-W30,179,-0.6462575593983793,-7.375305044543748,5.227776761773628
2018-W31,180,-2.5377221102838634,-8.933708561138,3.7449473600223193
2018-W32,252,-6.942770743369416,-13.987999840664592,0.32402684281566346
2018-W33,283,-7.153741808542747,-12.473164006361234,-1.950228295567488
2018-W34,126,0.2899498716312388,-6.425089755746856,7.522755972387166
2018-W35,99,-5.3951848260633115,-8.354314258403123,-2.3173608300237416
2018-W36,123,4.088948474682755,-7.215029123994679,17.01592387104384
2018-W37,95,-8.887465501731198,-13.738482430710764,-3.71360146315515
2018-W38,89,1.6222391281110546,-7.0527532571074705,11.295603194349656
2018-W39,103,-1.7938147584961068,-9.444454516447692,4.912470153890552
2018-W40,44,-3.51946984028458,-8.248419525522088,1.207340722796653
2018-W41,44,-5.835716472830094,-23.41354103053445,11.72167431052256
2018-W42,60,6.091672297672535,-6.643038618644667,27.459327668324942
2018-W43,10,-10.087444509128046,,
2018-W44,11,11.188943870399639,,
2018-W45,11,-16.121892897190516,,
2018-W46,137,1.6213503825147657,-9.423083728945471,17.64447413154986
2018-W47,413,3.3857206537962568,-6.763836940744071,14.013559512312725
2018-W48,411,-4.050445527397997,-9.242481013796375,1.2968151487512243
2018-W49,367,-7.381718957090993,-11.648176055498835,-2.9603583260497417
2018-W50,196,-6.107059006757587,-11.217854437388507,-1.0808120792785765
2018-W51,339,-1.9234227246622742,-8.165093225760105,5.2479567328224945
2018-W52,310,-8.103819089637648,-15.472440348344467,-0.38296010724135965
2019-W01,112,-2.7863198878329536,-10.465462581613664,7.315382817178936
2019-W02,101,-4.700443027742947,-17.001390959743425,10.030235078773154
2019-W03,56,5.072396107548532,-10.962090157022436,25.072265276526146
2019-W04,45,-16.801643816366877,-25.879062787216146,-8.318681191170526
2019-W05,47,-5.845567202956639,-11.770411323344254,0.3313514500985255
2019-W06,35,15.647254115516802,-11.621002703407491,42.76627351360307
2019-W07,32,-11.427395944249875,-19.18099161789622,-3.8291769630903714
2019-W08,132,5.889377795818935,-5.466342241936897,20.104463557246113
2019-W09,61,-15.873128100120192,-23.47816352664544,-5.580438876843331
2019-W10,62,-5.865897685712397,-10.846013520166801,-2.026314396158426
2019-W11,36,-10.701959289921602,-14.138541436571892,-7.347410028977584
2019-W12,25,-3.772681543844882,-7.613742397845234,0.17195003675261658
2019-W13,23,-8.139772511688637,-12.562431273859067,-3.8494444698400643
2019-W14,215,0.15592241962853867,-8.438332395825888,10.850793385502055
2019-W15,158,-5.9361602108651805,-9.840195187924655,-2.1309704433191707
2019-W16,70,-3.276816825671708,-9.575712297278956,5.321860800964776
2019-W17,113,-2.72841947450145,-11.609664972899902,9.593746501803952
2019-W18,117,-7.305580856231873,-12.111279596900577,-2.0533628254276293
2019-W19,225,6.570551734197185,-7.637235159618611,27.165257353698717
2019-W20,397,-4.352634736949853,-10.256655455031686,1.3714858674826107
2019-W21,274,-6.726070893980662,-12.76415968326961,0.15336047828439078
2019-W22,229,-11.238756070503621,-14.811553138574316,-7.771005907019625
2019-W23,242,-2.0762102389137804,-7.135541080076452,4.344416357890651
2019-W24,180,-6.466405499511469,-11.80533178199051,-0.9454594317077775
2019-W25,270,-7.242880928454672,-11.369521631394013,-2.9713786450783246
2019-W26,436,3.877838208918926,-2.9777735008139725,11.341616377450132
2019-W27,393,-1.4880063976333842,-7.172424303422619,4.537188437794214
2019-W28,362,-2.0078378645332173,-6.1878617024575755,1.9330424253568639
2019-W29,426,-8.307988965671678,-14.751598862463677,-1.358390446868767
