k,thr,stop,period,is_current,n_entry_signal_bars,n_entry_signals_discarded,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc
15,0.4,0.25,full,False,534156,1804,77640,468,77172,-4.302998772531884,-4.65981372238505,-3.9465990863866547,0.1809466950771926,-8.598459824111309,-9.467997459790954,-7.743166481912995,0.2640335873114601,332126.4882896934,11.51614575234541,0.5211734826102732,0.04636396620535946,-0.45832519875730376,55.48672677555679,2314,178,136,3.798309607569221,-808423.1861323407
15,0.4,0.25,train,False,534156,1804,63045,328,62717,-4.513700812209129,-4.924198138009547,-4.125606029610338,0.20416153144088683,-9.523993583940085,-10.595248835769766,-8.501362468881656,0.2575697179393147,283235.9417367037,11.144809222379896,0.5460720378844651,0.045378446035365214,-0.6700127586045429,57.879334830659154,1599,48,35,3.798309607569221,-605906.5930714171
15,0.4,0.25,val,False,534156,1804,14595,140,14455,-3.388809922830206,-4.078564151235067,-2.7053033790123644,0.34806231057117376,-6.629621827216912,-8.121891326769433,-5.2377001794365565,0.29207886544448286,49036.88222330046,13.127291594603943,0.41314424074714634,0.05063991698374265,0.46013960172275775,43.60099654504418,716,130,101,3.798309607569221,-202516.59306092362
15,0.4,0.5,full,False,534156,1804,63305,547,62758,-4.330878631216874,-4.805038039690137,-3.849456422031465,0.2383638433389152,-6.934307973226617,-7.822633658810208,-6.071349948647868,0.3029573918862934,271852.7481537744,15.463765575703496,0.2151916887090092,0.061792918831065365,-0.470776104816588,63.34539246721205,2314,173,131,3.798309607569221,-711751.1364916817
15,0.4,0.5,train,False,534156,1804,50621,393,50228,-4.574756855303125,-5.0843971847340255,-4.021507358936399,0.2763704132583194,-7.533285200187851,-8.588551760837749,-6.505014106220578,0.29831966233973084,229829.11780712058,15.251095006769132,0.2341522656685514,0.06183801863502429,-0.7146092290988795,66.51695280633885,1599,45,31,3.798309607569221,-538902.0663505748
15,0.4,0.5,val,False,534156,1804,12684,154,12530,-3.35326367196674,-4.1240594435991085,-2.582308536277769,0.3964045225692856,-5.834020844147237,-7.190768754515554,-4.481649347447691,0.32154828411811653,42068.02859853287,16.316280925778134,0.13918595371109338,0.0616121308858739,0.5066580664883548,48.58652907301077,716,128,100,3.798309607569221,-172849.0701411068
15,0.4,1.0,full,False,534156,1804,57257,584,56673,-4.4969390787460854,-5.0219855336281025,-3.9663835966730527,0.26347708581755247,-6.501175243092893,-7.418832426477691,-5.584247438259215,0.31514124891923845,254974.833635101,17.511883965909693,0.07504455384398215,0.06983925325992978,-0.6287902179169349,67.8641992074277,2314,167,131,3.798309607569221,-689399.7532643225
15,0.4,1.0,train,False,534156,1804,45361,424,44937,-4.708747663747617,-5.324299783721681,-4.084607146215179,0.31719054643143896,-6.9208049759899515,-8.012525446182245,-5.854530657463088,0.3119033313305294,211767.8834585117,17.463248547967154,0.08322762979282106,0.07040968466964861,-0.8400283715087472,71.59906045910961,1599,37,30,3.798309607569221,-512827.12862190604
15,0.4,1.0,val,False,534156,1804,11896,160,11736,-3.6859266056535667,-4.453665255547999,-2.8347528164123044,0.4234174265453937,-5.995772401210309,-7.500254855801378,-4.631348430754848,0.3275391956373552,43309.669432739895,17.698108384458077,0.04371165644171779,0.06765507839127471,0.1800380803069293,51.0936327974577,716,130,101,3.798309607569221,-176572.6246424166
15,0.8,0.25,full,False,168023,585,31818,151,31667,-7.08791683364203,-7.8277003444285445,-6.371013838787238,0.37505391712432135,-6.083464266237719,-6.799489620986232,-5.485672718497571,0.2287239081693877,224453.06237094328,9.424258692013769,0.7454132061767771,0.03827328133388069,-1.8626026899416208,69.21012378384309,2314,19,14,5.187040862366527,-512086.0476523655
15,0.8,0.25,train,False,168023,585,27281,107,27174,-7.153392328188228,-7.933871249766591,-6.366850058833605,0.4061980012102061,-6.618217021013967,-7.4297510297897595,-5.87509771342946,0.22499448001766395,194682.0272437883,9.181202620151616,0.7565319790976669,0.03805107823654964,-1.9283003875851499,71.37401154040597,1598,16,11,5.187040862366527,-392133.17950114724
15,0.8,0.25,val,False,168023,585,4537,44,4493,-6.691916146172993,-8.041196839368235,-5.190989080456945,0.735376207752558,-5.619772488976029,-6.901212252862254,-4.378161066587154,0.2512797685288226,30066.779244755253,10.894279991097262,0.6781660360560873,0.03961718228355219,-1.4652581015229125,54.320423860369445,716,3,3,5.187040862366527,-119952.86815121822
15,0.8,0.5,full,False,168023,585,23383,210,23173,-6.738428590104029,-7.775614547128373,-5.726643649110273,0.5198115724440244,-4.656163340701227,-5.371731644308823,-3.9759321171630946,0.29305657446165795,156149.60571847993,15.934492728606568,0.44685625512449834,0.06455789064859967,-1.4868298370889013,85.11993926258806,2314,18,11,5.187040862366527,-404218.51565941266
15,0.8,0.5,train,False,168023,585,19830,158,19672,-6.854339359679712,-7.956089235103038,-5.715576705870875,0.5778587235005733,-5.054420603246652,-5.9232528490220995,-4.300483295677486,0.2879727531516877,135133.04271867563,15.70282635217568,0.4620272468483123,0.06486376575843839,-1.6024347315547451,88.05371398373357,1598,15,8,5.187040862366527,-316332.8633603205
15,0.8,0.5,val,False,168023,585,3553,52,3501,-6.087129915698767,-8.213202357241403,-4.1083637841423695,1.0302768022774642,-4.154474463755793,-5.458704430756006,-2.7247243604363156,0.32162239360182804,21311.041834861426,17.23621822336475,0.3616109682947729,0.06283918880319908,-0.8372498645290394,66.26895366311273,716,3,3,5.187040862366527,-87885.65229909218
15,0.8,1.0,full,False,168023,585,19981,241,19740,-5.928632405684113,-7.112465876994883,-4.696378185353859,0.6115165681360981,-3.6331552614002636,-4.414354398015779,-2.8660175359832976,0.33297872340425533,117036.13254435455,20.92370820668693,0.16342451874366767,0.08470111448834854,-0.6568904288292373,96.39038962971416,2314,14,11,5.187040862366527,-360191.00701083726
15,0.8,1.0,train,False,168023,585,16776,186,16590,-5.84396393255794,-7.20239875652473,-4.448090379857174,0.7071558305767351,-3.788367368691332,-4.705659806731204,-2.858670561104795,0.3303194695599759,97258.32487296966,20.839481615430984,0.17203134418324292,0.08607594936708861,-0.5708471208243217,100.19257407398187,1598,9,6,5.187040862366527,-278006.3930290382
15,0.8,1.0,val,False,168023,585,3205,55,3150,-6.374553030815304,-8.646214116567304,-4.141607660164798,1.1443689447357488,-3.8893004581107258,-5.375473792550606,-2.4165852832026857,0.346984126984127,20084.770903218407,21.367301587301586,0.1180952380952381,0.07746031746031747,-1.1100518509884578,73.18651707973568,716,5,5,5.187040862366527,-82184.61398179902
15,1.2,0.25,full,False,72177,265,16445,68,16377,-9.703752986281025,-10.888220707266179,-8.530422733861455,0.606301080722272,-4.7381862124566085,-5.422066667847134,-4.170901354297303,0.21469133540941565,158971.82137558717,7.764364657751725,0.8280515356902973,0.034316419368626734,-2.961995172963964,80.00945374136958,2311,10,6,6.707441393948434,-356869.46545228525
15,1.2,0.25,train,False,72177,265,14472,51,14421,-9.418976912145467,-10.792668192089772,-8.060026495046431,0.6994649955982197,-5.051000565603732,-5.815924058188393,-4.432547499712174,0.21503363150960406,136151.1361264497,7.645308924485126,0.8326052284862353,0.03536509257333056,-2.676170425623703,82.2637050883621,1598,10,6,6.707441393948434,-269120.03230858233
