費用,方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
費用あり(p75),規則,A,2,-3.809398,-9.085470,2.123094,0.672500,-4.056783,0.278445,2000,223,1.142500,60.000000,0.000000,1
費用あり(p75),規則,A,2,-3.809398,-9.085470,2.123094,0.672500,-4.056783,0.278445,2000,223,1.142500,60.000000,0.000000,0
費用あり(p75),規則,B,0.500000,-3.796064,-11.833084,2.333520,0.664000,-5.271449,0.302383,2000,223,1.325000,60.000000,0.000000,1
費用あり(p75),規則,B,0.500000,-3.796064,-11.833084,2.333520,0.664000,-5.271449,0.302383,2000,223,1.325000,60.000000,0.000000,0
費用あり(p75),規則,B,1,-3.905932,-11.825100,2.449582,0.662000,-5.275155,0.312350,2000,223,1.325000,60.000000,0.000000,1
費用あり(p75),規則,B,1,-3.905932,-11.825100,2.449582,0.662000,-5.275155,0.312350,2000,223,1.325000,60.000000,0.000000,0
費用あり(p75),規則,B,2,-3.922816,-11.282746,2.428330,0.661000,-5.193233,0.307147,2000,223,1.325000,60.000000,0.000000,1
費用あり(p75),規則,B,2,-3.922816,-11.282746,2.428330,0.661000,-5.193233,0.307147,2000,223,1.325000,60.000000,0.000000,0
費用あり(p75),完全な判断,A,0.500000,1.400445,-3.052658,7.191634,0.418500,2.367243,0.245275,2000,223,1.048000,60.000000,0.000000,1
費用あり(p75),完全な判断,A,0.500000,1.400445,-3.052658,7.191634,0.418500,2.367243,0.245275,2000,223,1.048000,60.000000,0.000000,0
費用あり(p75),完全な判断,A,1,1.330579,-3.310685,7.086043,0.427000,2.093071,0.240892,2000,223,1.048000,60.000000,0.000000,1
費用あり(p75),完全な判断,A,1,1.330579,-3.310685,7.086043,0.427000,2.093071,0.240892,2000,223,1.048000,60.000000,0.000000,0
費用あり(p75),完全な判断,A,2,0.918899,-3.813585,6.794354,0.450500,1.598609,0.229118,2000,223,1.048000,60.000000,0.000000,1
費用あり(p75),完全な判断,A,2,0.918899,-3.813585,6.794354,0.450500,1.598609,0.229118,2000,223,1.048000,60.000000,0.000000,0
費用あり(p75),完全な判断,B,0.500000,1.515724,-3.231418,8.254465,0.422500,3.047511,0.303926,2000,223,1.181000,60.000000,0.000000,1
費用あり(p75),完全な判断,B,0.500000,1.515724,-3.231418,8.254465,0.422500,3.047511,0.303926,2000,223,1.181000,60.000000,0.000000,0
費用あり(p75),完全な判断,B,1,1.517536,-3.437622,8.167880,0.427000,2.702066,0.297676,2000,223,1.181000,60.000000,0.000000,1
費用あり(p75),完全な判断,B,1,1.517536,-3.437622,8.167880,0.427000,2.702066,0.297676,2000,223,1.181000,60.000000,0.000000,0
費用あり(p75),完全な判断,B,2,0.996345,-3.911987,7.753110,0.447500,2.108397,0.277145,2000,223,1.181000,60.000000,0.000000,1
費用あり(p75),完全な判断,B,2,0.996345,-3.911987,7.753110,0.447500,2.108397,0.277145,2000,223,1.181000,60.000000,0.000000,0
費用あり(p75),全部逆張り,A,0.500000,-1.816233,-6.971588,4.103575,0.589500,-1.771719,0.246331,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部逆張り,A,0.500000,-1.816233,-6.971588,4.103575,0.589500,-1.771719,0.246331,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部逆張り,A,1,-1.673335,-7.129682,4.283959,0.588000,-1.783134,0.256661,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部逆張り,A,1,-1.673335,-7.129682,4.283959,0.588000,-1.783134,0.256661,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部逆張り,A,2,-1.769366,-7.414003,4.210736,0.583500,-1.875508,0.254224,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部逆張り,A,2,-1.769366,-7.414003,4.210736,0.583500,-1.875508,0.254224,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部逆張り,B,0.500000,-1.816233,-6.971588,4.103575,0.589500,-1.771719,0.246331,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部逆張り,B,0.500000,-1.816233,-6.971588,4.103575,0.589500,-1.771719,0.246331,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部逆張り,B,1,-1.673335,-7.129682,4.283959,0.588000,-1.783134,0.256661,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部逆張り,B,1,-1.673335,-7.129682,4.283959,0.588000,-1.783134,0.256661,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部逆張り,B,2,-1.769366,-7.414003,4.210736,0.583500,-1.875508,0.254224,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部逆張り,B,2,-1.769366,-7.414003,4.210736,0.583500,-1.875508,0.254224,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部順張り,A,0.500000,-6.029399,-11.949207,-0.874044,0.778000,-6.073913,0.246331,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部順張り,A,0.500000,-6.029399,-11.949207,-0.874044,0.778000,-6.073913,0.246331,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部順張り,A,1,-6.172297,-12.129591,-0.715951,0.773000,-6.062498,0.256661,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部順張り,A,1,-6.172297,-12.129591,-0.715951,0.773000,-6.062498,0.256661,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部順張り,A,2,-6.076265,-12.056368,-0.431629,0.770500,-5.970124,0.254224,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部順張り,A,2,-6.076265,-12.056368,-0.431629,0.770500,-5.970124,0.254224,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部順張り,B,0.500000,-6.029399,-11.949207,-0.874044,0.778000,-6.073913,0.246331,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部順張り,B,0.500000,-6.029399,-11.949207,-0.874044,0.778000,-6.073913,0.246331,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部順張り,B,1,-6.172297,-12.129591,-0.715951,0.773000,-6.062498,0.256661,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部順張り,B,1,-6.172297,-12.129591,-0.715951,0.773000,-6.062498,0.256661,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),全部順張り,B,2,-6.076265,-12.056368,-0.431629,0.770500,-5.970124,0.254224,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),全部順張り,B,2,-6.076265,-12.056368,-0.431629,0.770500,-5.970124,0.254224,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),前段の3択(清算),A,0.500000,-0.767997,-7.706330,0.000000,0.528500,-3.642009,0.277988,2000,223,0.791000,60.000000,0.265000,1
費用あり(p75),前段の3択(清算),A,0.500000,-3.990381,-10.652525,1.031676,0.719048,-4.947258,0.373960,1470,215,0.791000,60.000000,0.265000,0
費用あり(p75),前段の3択(清算),A,1,-0.653185,-7.755474,0.000000,0.523500,-3.666463,0.276910,2000,223,0.791000,60.000000,0.265000,1
費用あり(p75),前段の3択(清算),A,1,-4.225879,-10.616772,1.007965,0.712245,-4.959714,0.371809,1470,215,0.791000,60.000000,0.265000,0
費用あり(p75),前段の3択(清算),A,2,-0.622848,-7.819288,0.000000,0.521000,-3.580484,0.274190,2000,223,0.791000,60.000000,0.265000,1
費用あり(p75),前段の3択(清算),A,2,-4.135228,-10.814165,0.951217,0.708844,-4.848582,0.367778,1470,215,0.791000,60.000000,0.265000,0
費用あり(p75),完全な判断(清算),A,0.500000,0.499303,-3.876837,6.369956,0.472500,1.530113,0.342707,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),完全な判断(清算),A,0.500000,0.499303,-3.876837,6.369956,0.472500,1.530113,0.342707,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),完全な判断(清算),A,1,0.205763,-3.938270,6.405040,0.484500,1.309953,0.332182,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),完全な判断(清算),A,1,0.205763,-3.938270,6.405040,0.484500,1.309953,0.332182,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),完全な判断(清算),A,2,-0.039080,-4.504419,5.795341,0.503000,0.868029,0.305118,2000,223,1.000000,60.000000,0.000000,1
費用あり(p75),完全な判断(清算),A,2,-0.039080,-4.504419,5.795341,0.503000,0.868029,0.305118,2000,223,1.000000,60.000000,0.000000,0
費用あり(p75),logistic_3択(出口300秒),A,0.500000,0.000000,-15.206751,3.027537,0.497000,-4.110837,0.508854,2000,223,0.820500,300.000000,0.197500,1
