方策,入った本数,合計保有時間_時間,保有1時間あたりの収支_bp/h,同時建玉の最大_本,平均保有秒
①3択A(従来),1605,29.072515,-218.917294,1,52.330527
①3択A(順張り利確5bp),1605,23.535229,-278.717649,1,42.363411
完全な判断(値段)A,2000,33.614067,276.535134,1,60.505321
