場面,母集団,段1で凍結した帯,帯下端,帯上端,件数,続く割合,2SE,基準率,基準率と区別できない,区分
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.300000,0.320000,2,0.000000,0.000000,0.702670,0,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.320000,0.340000,2,0.500000,0.707107,0.702670,1,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.340000,0.360000,6,0.500000,0.408248,0.702670,1,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.360000,0.380000,16,0.500000,0.250000,0.702670,1,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.380000,0.400000,19,0.368421,0.221329,0.702670,0,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.400000,0.420000,31,0.451613,0.178762,0.702670,0,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.420000,0.440000,51,0.490196,0.140001,0.702670,0,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.440000,0.460000,52,0.519231,0.138572,0.702670,0,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.460000,0.480000,87,0.540230,0.106864,0.702670,0,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.480000,0.500000,82,0.560976,0.109607,0.702670,0,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.500000,0.520000,94,0.702128,0.094339,0.702670,1,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.520000,0.540000,139,0.625899,0.082086,0.702670,1,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.540000,0.560000,147,0.591837,0.081075,0.702670,0,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.560000,0.580000,156,0.557692,0.079529,0.702670,0,止まる
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.580000,0.600000,170,0.658824,0.072724,0.702670,1,わからない
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.600000,0.620000,167,0.658683,0.073382,0.702670,1,わからない
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.620000,0.640000,172,0.697674,0.070037,0.702670,1,わからない
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.640000,0.660000,205,0.697561,0.064160,0.702670,1,わからない
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.660000,0.680000,240,0.683333,0.060054,0.702670,1,わからない
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.680000,0.700000,235,0.748936,0.056573,0.702670,1,わからない
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.700000,0.720000,258,0.763566,0.052905,0.702670,0,続く
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.720000,0.740000,234,0.747863,0.056774,0.702670,1,続く
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.740000,0.760000,228,0.828947,0.049876,0.702670,0,続く
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.760000,0.780000,206,0.825243,0.052918,0.702670,0,続く
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.780000,0.800000,149,0.832215,0.061225,0.702670,0,続く
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.800000,0.820000,96,0.875000,0.067508,0.702670,0,続く
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.820000,0.840000,51,0.823529,0.106763,0.702670,0,続く
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.840000,0.860000,30,0.866667,0.124127,0.702670,0,続く
連鎖の中,"前段の5,000件(後半)","(0.56, 0.66)",0.860000,0.880000,6,0.833333,0.304290,0.702670,1,続く
