方策,遅れ_秒,利確した建玉の本数,秒が取れた本数,p25_秒,p50_秒,p75_秒,p90_秒,最大_秒
logistic_3択(順張り利確5bp・入り値基準),0.500000,768,768,2.015250,6.787000,18.726250,36.131100,95.739000
logistic_3択(順張り利確5bp・入り値基準),1.000000,753,753,2.333000,7.785000,20.518000,39.474200,118.825000
logistic_3択(順張り利確5bp・入り値基準),2.000000,728,728,2.741000,7.966000,20.379250,39.116700,77.413000
