方策,母集団,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A(従来),0として含める(全連鎖),2000,-6364.476306,-0.491637,-7.931250,1.002225,0.518500,-2.575934,0.269713,223
①3択A(従来),入った連鎖だけ,2000,-6364.476306,-0.491637,-7.931250,1.002225,0.518500,-2.575934,0.269713,223
①3択A(順張り利確5bp),0として含める(全連鎖),2000,-6559.683577,0.000000,-6.645670,3.016458,0.440000,-2.503585,0.271261,223
①3択A(順張り利確5bp),入った連鎖だけ,2000,-6559.683577,0.000000,-6.645670,3.016458,0.440000,-2.503585,0.271261,223
完全な判断(値段)A,0として含める(全連鎖),2000,9295.470657,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,223
完全な判断(値段)A,入った連鎖だけ,2000,9295.470657,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,223
