方策,日数,負の日の割合,日の合計の中央値_bp,下位5日の合計_bp,上位5日の合計_bp,上位5日,下位5日
①3択A(従来),223,0.757848,-19.094154,-1020.187661,207.532234,"2024-03-05:31, 2024-09-04:33, 2024-05-31:37, 2024-06-24:53, 2024-04-14:54","2024-04-02:-254, 2024-03-15:-233, 2024-02-29:-188, 2024-05-01:-180, 2024-03-14:-165"
①3択A(順張り利確5bp),223,0.771300,-18.577693,-1170.248514,129.382201,"2024-06-14:21, 2024-07-18:22, 2024-09-04:24, 2024-09-20:26, 2024-07-07:36","2024-03-15:-361, 2024-03-14:-292, 2024-05-01:-194, 2024-04-02:-166, 2024-08-05:-157"
完全な判断(値段)A,223,0.107623,30.712142,-99.437609,1151.835080,"2024-06-24:198, 2024-03-15:204, 2024-04-14:216, 2024-03-05:243, 2024-08-05:290","2024-04-18:-30, 2024-07-27:-26, 2024-07-14:-18, 2024-06-27:-17, 2024-05-18:-9"
