線,費用の通り,遅れ_秒,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A(従来),費用なし,1,2000,-3075.871281,0.000000,-5.904817,3.017628,0.429500,-0.938550,0.265907,223
①3択A(順張り利確5bp),費用なし,1,2000,-2581.693952,0.000000,-4.353817,5.024842,0.362500,-0.611495,0.250037,223
完全な判断(値段)A,費用なし,1,2000,13495.907057,5.392717,0.652357,11.113988,0.217500,6.223275,0.245344,223
①3択A(従来),費用あり(主のc),1,2000,-6364.476306,-0.491637,-7.931250,1.002225,0.518500,-2.575934,0.269713,223
①3択A(順張り利確5bp),費用あり(主のc),1,2000,-6559.683577,0.000000,-6.645670,3.016458,0.440000,-2.503585,0.271261,223
完全な判断(値段)A,費用あり(主のc),1,2000,9295.470657,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,223
①3択A(従来),費用あり(p75),1,2000,-9513.212337,-2.411981,-9.857564,0.000000,0.593000,-4.143677,0.274612,223
①3択A(順張り利確5bp),費用あり(p75),1,2000,-10368.483712,-0.054532,-8.770607,1.095384,0.501500,-4.315201,0.297760,223
完全な判断(値段)A,費用あり(p75),1,2000,5273.684721,1.330579,-3.310685,7.086043,0.427000,2.093071,0.240892,223
