方策,入った本数,合計保有時間_時間,保有1時間あたりの収支_bp/h,同時建玉の最大_本,平均保有秒
①3択A,1605,29.072515,-218.917294,1,52.330527
①3択B,1605,30.740653,-203.103834,1,55.333175
①3択A(出口300秒),1605,130.272515,-49.473524,2,234.490527
全部逆張り(素),2000,38.102530,11.898886,1,68.584554
前段の3択(清算)A,1470,25.543644,-199.319208,1,45.978559
完全な判断(値段)A,2000,33.614067,276.535134,1,60.505321
②opt,285,24.947817,50.345194,2,315.130316
