方策,日数,負の日の割合,日の合計の中央値_bp,下位5日の合計_bp,上位5日の合計_bp,上位5日,下位5日
①3択A,223,0.757848,-19.094154,-1020.187661,207.532234,"2024-03-05:31, 2024-09-04:33, 2024-05-31:37, 2024-06-24:53, 2024-04-14:54","2024-04-02:-254, 2024-03-15:-233, 2024-02-29:-188, 2024-05-01:-180, 2024-03-14:-165"
①3択B,223,0.748879,-18.227135,-1070.781791,250.592683,"2024-09-22:30, 2024-05-31:40, 2024-07-07:52, 2024-04-14:54, 2024-06-24:75","2024-04-02:-249, 2024-02-29:-234, 2024-03-15:-233, 2024-05-01:-180, 2024-03-14:-174"
①3択A(出口300秒),223,0.618834,-13.766167,-1447.258103,636.194480,"2024-06-14:103, 2024-04-14:115, 2024-07-21:135, 2024-03-05:136, 2024-04-04:148","2024-08-06:-360, 2024-04-18:-347, 2024-04-19:-275, 2024-05-01:-261, 2024-02-29:-205"
全部逆張り(素),223,0.452915,1.655674,-485.390686,594.796925,"2024-04-15:82, 2024-07-15:88, 2024-03-04:127, 2024-03-15:130, 2024-04-02:168","2024-03-05:-147, 2024-06-24:-101, 2024-10-02:-85, 2024-04-17:-79, 2024-08-06:-73"
前段の3択(清算)A,223,0.699552,-12.591711,-893.827168,301.939572,"2024-03-12:36, 2024-08-09:40, 2024-04-18:63, 2024-06-24:65, 2024-04-14:98","2024-03-14:-232, 2024-04-02:-201, 2024-05-01:-166, 2024-03-15:-148, 2024-08-05:-147"
完全な判断(値段)A,223,0.107623,30.712142,-99.437609,1151.835080,"2024-06-24:198, 2024-03-15:204, 2024-04-14:216, 2024-03-05:243, 2024-08-05:290","2024-04-18:-30, 2024-07-27:-26, 2024-07-14:-18, 2024-06-27:-17, 2024-05-18:-9"
②opt,133,0.375940,6.443072,-479.471944,603.811535,"2024-03-15:113, 2024-08-05:115, 2024-08-12:121, 2024-03-20:122, 2024-10-01:133","2024-03-26:-122, 2024-07-29:-111, 2024-03-05:-93, 2024-04-09:-77, 2024-04-13:-76"
