対差,母集団,対の数,対差の合計_bp,対差の中央値_bp,対差のp25_bp,対差のp75_bp,対差が正の割合,対差が0の本数
①3択A(順張り利確5bp) − ①3択A(従来),0として含める(全連鎖),2000,-195.207271,0.000000,0.000000,0.000000,0.137500,1453
①3択A(順張り利確5bp) − ①3択A(従来),両方入った連鎖だけ,1605,-195.207271,0.000000,0.000000,0.000000,0.171340,1058
