kind,time_ms,side,qty,p_liq,p_avg,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,day,oi_dist_vwap_bp,oi_dist_node_bp,oi_side_dist_vwap_bp,oi_side_dist_node_bp,oi_n_bins,oi_n_buckets,oi_total_delta,oi_side_total_delta,dist_vwap_bp_liqdir,dist_node_bp_liqdir,oi_dist_vwap_bp_liqdir,oi_dist_node_bp_liqdir,oi_side_dist_vwap_bp_liqdir,oi_side_dist_node_bp_liqdir,implied_leverage,implied_leverage_side,oi_covered
control,1687651684449,,,30531.3,,30531.3,91.6667,-1.6996,-51.5415,0.170775,7.0784,12,2903230.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687652039079,,,30566.5,,30566.5,81.8182,-3.2267,46.8572,0.154427,-2.7425,11,2819263.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687652259779,,,30583.4,,30583.4,72.7273,-8.7508,41.3054,0.133504,-7.2293,11,2757662.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687652632527,,,30502.1,,30502.1,63.6364,7.8719,-32.0597,0.125532,19.6475,11,2775681.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687652920842,,,30486.1,,30486.1,72.7273,13.1243,-26.8283,0.138635,25.1978,11,2776464.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687654545962,,,30511.3,,30511.3,90.9091,4.8542,-25.1004,0.224233,18.1893,11,2726016.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687655639669,,,30572.4,,30572.4,63.6364,-5.156,-45.0356,0.113749,-3.2081,11,2589428.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687656471926,BUY,7.0,30631.6,30631.6,30631.6,36.3636,-24.4724,-64.275,0.072767,-22.621,11,2584526.0,2023-06-25,,,,,,,,,22.621,24.4724,,,,,,,0
liq,1687656473356,BUY,43.0,30631.6,30631.6,30631.6,36.3636,-24.4724,-64.275,0.072831,-22.6198,11,2584704.0,2023-06-25,,,,,,,,,22.6198,24.4724,,,,,,,0
control,1687657803942,,,30615.9,,30615.9,54.5455,-29.3276,-59.1799,0.120944,-16.6275,11,2633380.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687657826301,,,30615.9,,30615.9,54.5455,-29.3276,-59.1799,0.12096,-16.6284,11,2633057.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687657982367,,,30620.0,,30620.0,54.5455,-30.6627,-60.511,0.121629,-17.9625,11,2631797.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687658603894,,,30622.3,,30622.3,63.6364,-31.4115,-61.2575,0.112767,-19.2595,11,2494652.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687659729506,BUY,10.0,30664.4,30664.4,30664.4,36.3636,-45.0976,14.7813,0.063357,-34.5354,11,2399164.0,2023-06-25,,,,,,,,,34.5354,45.0976,,,,,,,0
liq,1687660479390,BUY,2.0,30672.9,30672.9,30672.8,30.0,-47.8563,-87.5655,0.047772,-37.2505,10,2423308.0,2023-06-25,,,,,,,,,37.2505,47.8563,,,,,,,0
control,1687661436870,,,30656.8,,30656.8,54.5455,-42.6297,17.2641,0.106595,-31.2736,11,2471148.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687661545042,,,30656.7,,30656.7,54.5455,-42.5972,17.2967,0.104019,-31.3234,11,2464042.0,2023-06-25,,,,,,,,,,,,,,,,,0
control,1687661604304,,,30659.3,,30659.3,54.5455,-43.4417,16.4472,0.104983,-32.1379,11,2466698.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687662893225,BUY,2.0,30704.8,30704.8,30704.8,25.0,-58.1958,11.6059,0.01314,-46.5167,12,2474593.0,2023-06-25,,,,,,,,,46.5167,58.1958,,,,,,,0
liq,1687663686420,BUY,3.0,30711.0,30711.0,30710.8,25.0,-60.2029,9.5848,0.022235,-48.1845,12,2486163.0,2023-06-25,,,,,,,,,48.1845,60.2029,,,,,,,0
liq,1687663697070,BUY,148.0,30728.6,30728.6,30728.5,8.3333,-65.896,3.8517,0.005082,-53.7757,12,2491366.0,2023-06-25,,,,,,,,,53.7757,65.896,,,,,,,0
control,1687664037004,,,30728.3,,30728.3,16.6667,-65.799,-95.5421,0.014607,-52.8842,12,2526877.0,2023-06-25,,,,,,,,,,,,,,,,,0
liq,1687665095016,BUY,3.0,30755.0,30755.0,30755.0,16.6667,-74.4234,-104.1407,0.02717,-61.0662,12,2506675.0,2023-06-25,,,,,,,,,61.0662,74.4234,,,,,,,0
liq,1687665128467,BUY,19.0,30770.0,30770.0,30770.0,0.0,-79.262,0.3823,0.001942,-65.7197,13,2514365.0,2023-06-25,,,,,,,,,65.7197,79.262,,,,,,,0
liq,1687665746391,BUY,2.0,30788.3,30788.3,30788.3,0.0,-85.1587,4.4327,0.00018,-70.3014,14,2551543.0,2023-06-25,,,,,,,,,70.3014,85.1587,,,,,,,0
liq,1687665797009,BUY,10.0,30857.1,30857.1,30857.1,0.0,-107.2651,2.1007,0.001958,-90.8111,16,2603503.0,2023-06-25,,,,,,,,,90.8111,107.2651,,,,,,,0
liq,1687665826333,BUY,193.0,30862.9,30862.9,30862.8,18.75,-109.1243,-138.7376,0.008991,-92.0222,16,2621291.0,2023-06-25,,,,,,,,,92.0222,109.1243,,,,,,,0
liq,1687665850273,BUY,1.0,30880.0,30880.0,30879.9,0.0,-114.6014,4.678,1e-05,-97.2559,17,2627340.0,2023-06-25,,,,,,,,,97.2559,114.6014,,,,,,,0
liq,1687665853193,BUY,11.0,30886.6,30886.6,30886.6,0.0,-116.7138,2.5402,0.000542,-99.3179,17,2628715.0,2023-06-25,,,,,,,,,99.3179,116.7138,,,,,,,0
liq,1687666294629,BUY,2.0,30894.7,30894.7,30894.6,5.8824,-119.305,-0.0823,0.003655,-98.7754,17,2707653.0,2023-06-25,,,,,,,,,98.7754,119.305,,,,,,,0
liq,1687666606879,BUY,2.0,30933.0,30933.0,30932.9,11.1111,-131.5388,-161.0851,0.006338,-107.1576,18,2807141.0,2023-06-25,,,,,,,,,107.1576,131.5388,,,,,,,0
liq,1687666716470,BUY,80.0,30940.4,30940.4,30940.3,26.3158,-133.8991,5.1278,0.017989,-108.0078,19,2839726.0,2023-06-25,,,,,,,,,108.0078,133.8991,,,,,,,0
liq,1687667519039,BUY,5.0,30970.5,30970.5,30970.5,36.8421,-143.4879,-172.9984,0.032733,-109.0651,19,3045443.0,2023-06-25,,,,,,,,,109.0651,143.4879,,,,,,,0
liq,1687667520248,BUY,1.0,30970.6,30970.6,30970.4,36.8421,-143.5197,-173.0301,0.033525,-109.0115,19,3047940.0,2023-06-25,,,,,,,,,109.0115,143.5197,,,,,,,0
liq,1687667535991,BUY,16.0,30974.3,30974.3,30974.2,0.0,-144.6971,4.1718,0.000327,-109.8602,20,3057558.0,2023-06-25,,,,,,,,,109.8602,144.6971,,,,,,,0
