code,name,market,perk_flag,kenri_month
2652,まんだらけ,standard,1,3月・9月
2653,イオン九州,standard,1,2月・8月
2654,アスモ,standard,1,9月
2659,サンエー,prime,1,2月
2664,カワチ薬品,prime,1,3月
2668,タビオ,standard,1,2月
2669,カネ美食品,standard,1,2月・8月
2676,高千穂交易,prime,1,6月・12月
2678,アスクル,prime,1,5月・11月
2683,魚喜,standard,1,8月
2685,アンドエスティＨＤ,prime,1,2月・8月
2687,シー・ヴイ・エス・ベイエリア,standard,1,2月・8月
2689,オルバヘルスケアホールディングス,standard,1,6月
2694,焼肉坂井ホールディングス,standard,1,3月・9月
2695,くら寿司,prime,1,4月
2698,キャンドゥ,standard,1,2月・8月
2700,木徳神糧,standard,1,6月・12月
2702,日本マクドナルドホールディングス,standard,1,6月・12月
2705,大戸屋ホールディングス,standard,1,3月・9月
2708,久世,standard,1,3月
2722,ＩＫホールディングス,standard,1,5月
2726,パルグループホールディングス,prime,1,2月
2730,エディオン,prime,1,3月
2733,あらた,prime,1,3月・9月
2734,サーラコーポレーション,prime,1,11月
2735,ワッツ,standard,1,8月
2736,フェスタリアホールディングス,standard,1,8月
2737,トーメンデバイス,prime,1,9月
2742,ハローズ,prime,1,2月
2747,北雄ラッキー,standard,1,2月
2749,ＪＰホールディングス,prime,1,3月・9月
274A,ガーデン,standard,1,2月・8月
2750,石光商事,standard,1,3月・9月
2751,テンポスホールディングス,standard,1,4月・10月
2752,フジオフードグループ本社,prime,1,6月・12月
2753,あみやき亭,prime,1,3月
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,standard,1,6月・12月
2764,ひらまつ,standard,1,3月・9月
2769,ヴィレッジヴァンガードコーポレーション,standard,1,11月
2778,パレモ・ホールディングス,standard,1,2月
2789,カルラ,standard,1,2月
2790,ナフコ,standard,1,3月・9月
2791,大黒天物産,prime,1,5月
2792,ハニーズホールディングス,prime,1,5月
2796,ファーマライズホールディングス,standard,1,11月
2798,ワイズテーブルコーポレーション,standard,1,2月・8月
2801,キッコーマン,prime,1,3月
2802,味の素,prime,1,3月
2804,ブルドックソース,prime,1,3月
2805,ヱスビー食品,standard,1,3月・9月
2806,ユタカフーズ,standard,1,3月
2809,キユーピー,prime,1,11月
2810,ハウス食品グループ本社,prime,1,3月・9月
2811,カゴメ,prime,1,6月
2813,和弘食品,standard,1,3月
2814,佐藤食品工業,standard,1,3月・9月
2815,アリアケジャパン,prime,1,3月・9月
2816,ダイショー,standard,1,3月・9月
2818,ピエトロ,standard,1,3月・9月
2819,エバラ食品工業,standard,1,3月
2831,はごろもフーズ,standard,1,3月・9月
2871,ニチレイ,prime,1,12月
2872,セイヒョー,standard,1,8月
2874,横浜冷凍,prime,1,9月
2875,東洋水産,prime,1,3月
2877,日東ベスト,standard,1,3月
2882,イートアンドホールディングス,prime,1,2月・8月
2883,大冷,standard,1,9月
2884,ヨシムラ・フード・ホールディングス,prime,1,2月・5月・8月・11月
2894,石井食品,standard,1,3月
2897,日清食品ホールディングス,prime,1,3月・9月
2901,ウェルディッシュ,standard,1,2月・8月
2903,シノブフーズ,standard,1,3月
2904,一正蒲鉾,standard,1,6月
2907,あじかん,standard,1,3月・9月
2908,フジッコ,prime,1,3月
2910,ロック・フィールド,prime,1,4月・10月
