候補,組,単発_n,単発_欠測割合,単発_p10,単発_p25,単発_p50,単発_p75,単発_p90,多件の最初_n,多件の最初_欠測割合,多件の最初_p10,多件の最初_p25,多件の最初_p50,多件の最初_p75,多件の最初_p90,分かれ方の数,|分かれ方-0.5|
N1,A,5033,0.000000,0.000000,3.657143,45.977011,135.420346,289.989387,3898,0.000000,-0.000000,1.151453,13.091798,92.141432,265.283754,0.582428,0.082428
N2,A,5033,0.000000,0.885356,0.954887,0.998895,1.000000,1.000000,3898,0.000000,0.871265,0.942088,0.996996,1.000000,1.000000,0.533965,0.033965
