nights,n_pairs,share
1,2510,0.7746913580246914
2,38,0.011728395061728396
3,569,0.1756172839506173
4,95,0.029320987654320986
5,12,0.003703703703703704
6,10,0.0030864197530864196
7,5,0.0015432098765432098
11,1,0.00030864197530864197
