year,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
2007,66,-17.720577713794853,111.71948989112312,-10.130091015562574,0.38552669993413935,0.5
2008,230,-22.250938384637585,202.94176620581393,-11.884332791862523,4.4241280762604696,0.4217391304347826
2009,231,-3.381303308852313,129.39709177253602,9.835889547756283,-5.133963569545028,0.4935064935064935
2010,233,-12.140839322630239,105.47682432533317,0.09977445137410818,-3.492785562804281,0.463519313304721
2011,233,-12.57781383290116,113.2757485685223,0.44693543684720244,-1.5337086309412702,0.45493562231759654
2012,236,-6.296285629693338,78.32599801790818,7.163971119901934,-2.2523616047063264,0.4533898305084746
2013,233,6.589464120456207,114.49514252829134,15.687332099326111,4.073146266121983,0.5107296137339056
2014,232,0.7644489374876225,92.85334858696315,8.69569931310054,-1.5175391744705098,0.5431034482758621
2015,232,-2.2122118921484173,87.72608160608394,4.163388932647785,-0.34752332397871155,0.5043103448275862
2016,233,4.676222455287938,120.59038332931105,11.92573472735227,-10.20382531219728,0.49356223175965663
2017,235,-1.9741632295832283,55.22138266373931,4.092446276527391,3.2330042390391753,0.43829787234042555
2018,233,-13.075089035573262,96.81403156183006,-7.594293079714932,-0.2644380871158123,0.463519313304721
2019,229,-0.536754821610134,77.5312099901883,5.109802286280464,3.419060884411445,0.5021834061135371
2020,222,6.93341903495328,108.94473449745558,12.409418789298607,2.039731365945358,0.5180180180180181
