quantity,sd_bps,n,se_bps,mde_bps_independent,mde_bps_registered,mde_bps_effective_from_ci
"σ(r_night) ロール除外後 n=2,769(事前登録の基準)",119.24504849053548,3081,2.1482979071641926,6.018639661860516,6.03,5.347983640596869
"σ(夜間−日中の差)ロール除外後 n=2,769",158.2139017119613,3081,2.8503539411874614,7.9855094694090445,8.07,6.299270607490051
σ(r_net 保守コスト後)主集合,111.6842198426363,3078,2.0130636511947744,5.639769369288225,6.03,5.449358933213582
σ(夜間−日中の差)主集合,151.20518236074983,3078,2.7254132849885493,7.635477573799988,8.07,6.365751291779127
