sq_dist_td,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
0,156,-17.54009044097653,135.16201646392994,-8.674016440061118,-0.6388489395006132,0.42948717948717946
1,313,-11.631967481019716,119.5258933218817,-2.747259666776438,-4.481788605975434,0.476038338658147
2,313,-0.969412485550133,117.68631151071726,7.911532769659722,-3.135065659784336,0.48242811501597443
3,314,-10.020141532730085,119.54922847450969,-1.1433862430400565,5.5748002672666885,0.44904458598726116
4,314,-3.2961195941880828,103.76766055984565,5.578540941845295,-8.505925232038358,0.48089171974522293
5,313,2.653931184040764,130.81357324543515,11.540894870491323,-0.5698819262395084,0.5143769968051118
6,313,-14.754548803600297,114.09652354096725,-5.882404787535458,3.2800475034137264,0.46006389776357826
7,312,0.4057084196714298,100.52493973416419,9.300719415883348,2.307129099394259,0.5
8,297,-0.21270890936741402,100.49081607741786,8.713679182543022,4.325006093703531,0.48484848484848486
9,259,-12.28044605239215,120.30786410546713,-3.2862185392098837,-12.968872579176457,0.4594594594594595
10,151,-3.8684005752841144,100.76591664774291,5.0794804658118355,3.6331813775026203,0.5298013245033113
11,98,6.217824318303808,107.10650646372187,14.92289571679116,19.25953410188436,0.5306122448979592
12,54,-7.016034208322411,81.5403036155113,1.3566606306946665,16.207140170497798,0.42592592592592593
13,5,-6.190818599357476,72.22016815852568,2.411524877070417,5.0108017930725595,0.4
14,5,-23.289330067593102,93.91427732908112,-14.734445392799554,-7.404614873820049,0.4
15,5,23.252973542631338,58.02818750503469,31.78225081592334,10.864634254248662,0.6
16,4,-37.01459781566273,60.87306627348445,-28.2445458616723,-28.494550135360896,0.25
17,4,20.4449312389853,34.27234710697483,29.229981788039815,-15.65765144733333,0.75
18,4,-44.00448976096691,57.58919805766036,-35.20017503204992,-9.11196654359958,0.25
19,3,29.612186044002808,35.855285499706476,39.31370251763896,36.76367129831733,0.6666666666666666
