vol_tercile,n,mean_r_net_bps,sd_bps,mean_gross_bps,mean_r_day_bps,hit_rate
high,1018,-3.740838310427973,152.08044006791022,5.721797919968964,2.1386486565841545,0.4911591355599214
low,1011,-5.226637086883471,73.9030775603041,2.5530798773916366,-1.5581854557427768,0.4678536102868447
mid,1028,-4.690361902283171,94.43859821781145,4.737562436948629,-2.381718519692611,0.48638132295719844
unknown,21,-9.753669110909822,95.25018594660364,-2.5493511096846566,3.509069580242103,0.47619047619047616
