step,n
day_session_daily 未封印行,7600
解析窓 2007-09-19 以降の日中行,3241
端点規則適用後のペア,3240
うち誤プリント(絶対単純収益 > 0.10),3
うちロール隣接(月次規則),471
うちロール隣接(四半期規則),159
うち夜間セッション無し(事前登録の5ペア),5
うち夜間行が実データで欠損,5
ロール隣接除外後(採用規則: 四半期、反復1),3081
誤プリントがロール隣接集合の内側にあった件数,0
主集合(ロール除外+誤プリント除外),3078
主集合のうち train,2159
主集合のうち val,919
全ペアのうち train(暦日分割),2273
全ペアのうち val(暦日分割),967
